"tip.label","species","mean_ED","median_ED","sd_ED","mean_rank","median_rank","top20_count","top20_frequency","mean_EH_66","median_EH_66","sd_EH_66","mean_rank_66","median_rank_66","top20_count_66","top20_frequency_66","mean_EH_145","median_EH_145","sd_EH_145","mean_rank_145","median_rank_145","top20_count_145","top20_frequency_145"
"Fenestraja_atripinna","Fenestraja atripinna",26.0718762964596,24.5420353225136,10.0816126964429,667.85,686.5,0,0,1.81803062686881,1.0656650277214,1.6322034401922,821.65,905.5,0,0,0.269442976191674,0.240963788256331,0.112840985417794,907.3,959.5,0,0
"Carcharhinus_isodon","Carcharhinus isodon",24.840003833449,26.1714817713183,5.9266876194114,669.07,646.5,0,0,0.898505498425755,0.934483122954177,0.254787960038457,980.74,972.5,0,0,0.248001691231986,0.253905294786057,0.0613401944991479,964.01,954.5,0,0
"Mustelus_californicus","Mustelus californicus",25.6026191846854,27.1980396261811,8.79356383963956,669.54,633,0,0,1.50283985126599,1.59131278795578,0.596116368779825,828.12,828,0,0,0.291650234877457,0.293678198789193,0.0890867879733501,788.66,758.5,0,0
"Malacoraja_senta","Malacoraja senta",26.3370111572474,24.4369420881948,11.5991352699615,670.4,702.5,0,0,1.65832109363442,1.47813035825539,1.3714470435976,832.22,856.5,0,0,0.261676826121356,0.251059088552108,0.0899666641634079,911.93,934.5,0,0
"Galeus_schultzi","Galeus schultzi",26.8169229874331,22.8380212703465,13.1531051030617,670.78,715,0,0,2.4069000536508,2.3640524385292,1.51575292777418,632.93,666.5,0,0,0.324647519951418,0.312623070898886,0.105770779644986,665.28,649.5,0,0
"Urolophus_gigas","Urolophus gigas",26.3859175412825,23.6358790432002,12.1474226755658,670.81,675.5,0,0,2.68548899417847,2.20861954638875,1.54768824646964,575.97,651.5,0,0,0.351947882961443,0.337064508502913,0.100745606679317,587.37,572.5,0,0
"Etmopterus_burgessi","Etmopterus burgessi",26.0178882842796,23.4413139134175,11.3107479008461,671.46,709,0,0,2.33390215538641,2.34976705691528,1.65016262735096,627.4,635,0,0,0.573989258737812,0.596049927402882,0.193348954113767,422.41,424,0,0
"Etmopterus_evansi","Etmopterus evansi",25.9407933973237,23.5103615731599,10.3260636098836,671.85,716.5,0,0,2.21122605499284,2.24752034661456,0.917961866242246,636.41,655.5,0,0,0.570366840296692,0.586569299685012,0.19399608028942,426.78,434,0,0
"Carcharhinus_dussumieri","Carcharhinus dussumieri",24.7695759098593,25.5073737633037,5.74269730023582,672.14,661,0,0,0.898960395353728,0.931869187339868,0.252791494102253,979.11,971,0,0,0.248128963782313,0.25159137621105,0.061522053227094,964.49,956,0,0
"Leucoraja_ocellata","Leucoraja ocellata",25.0654493446448,25.4771683399723,7.55815724638869,672.32,627.5,0,0,0.971951787453337,0.938252814778854,0.459743966923714,976.9,969,0,0,0.236106829098075,0.229022764959423,0.0640700223085573,995.46,998.5,0,0
"Galeus_nipponensis","Galeus nipponensis",27.7105837211001,22.4472349895381,16.5131054171553,672.36,734.5,0,0,2.65401883826024,2.28799681436511,2.09853014654883,619.45,666.5,0,0,0.325007305470744,0.317889974194811,0.102537529833474,662.56,654.5,0,0
"Etmopterus_decacuspidatus","Etmopterus decacuspidatus",26.4933945715308,24.3849628092937,12.3712432724094,672.38,686.5,0,0,2.20138754019626,2.24231325360404,0.986290781070025,639.94,655,0,0,0.568029745758699,0.586299511019065,0.19220220209733,427.79,434,0,0
"Fenestraja_sibogae","Fenestraja sibogae",26.0978248638244,23.0268661980799,11.9053437121538,672.47,675.5,0,0,1.8007094444103,1.06396154614914,1.63569722743535,823.39,902,0,0,0.2671072347388,0.237101360628527,0.107810658939535,908.68,957.5,0,0
"Etmopterus_bullisi","Etmopterus bullisi",25.4974219070289,23.9090775799285,8.98575206274932,673.11,671.5,0,0,2.19267708986474,2.227880948461,0.874874822854569,638.25,659,0,0,0.568858896877909,0.579434428470146,0.191142105106791,425.83,431.5,0,0
"Mustelus_norrisi","Mustelus norrisi",25.322564158553,28.3347166922666,8.02922564966187,673.68,586,0,0,1.50128087442534,1.57847862408613,0.594028243971883,827.91,827.5,0,0,0.291435234801804,0.295107034408665,0.0883285267492886,789.52,760,0,0
"Rhinoptera_brasiliensis","Rhinoptera brasiliensis",25.3675320137742,24.3351955083705,8.92128670704465,674.85,677,0,0,2.27908736462357,2.1958102358492,0.701873730207268,599.5,611.5,0,0,0.344224082276962,0.337464747524845,0.0933007577011712,601.9,590.5,0,0
"Torpedo_peruana","Torpedo peruana",25.7930860316605,23.4499396055203,10.0508793706884,675.09,691.5,0,0,2.6243660847526,2.50248805479771,0.633842172883893,539.49,581.5,0,0,0.659589376832915,0.640796757903458,0.105531040778818,363.87,386,0,0
"Leucoraja_erinacea","Leucoraja erinacea",24.9130412156961,24.1001215691867,7.3543391569581,676.71,645,0,0,0.97088819891695,0.940491430482964,0.459198055569449,977.61,968,0,0,0.235392831867778,0.228078099835258,0.0638920308739203,997.49,1000,0,0
"Carcharhinus_brevipinna","Carcharhinus brevipinna",24.6470758077724,25.7573240722218,6.09329051570585,677.24,653.5,0,0,0.899963331062453,0.935019251405794,0.254124743385235,978.3,968,0,0,0.248279340940012,0.253184469571234,0.061670276849272,962.33,957,0,0
"Urolophus_kaianus","Urolophus kaianus",27.932579951116,21.463082324767,17.287976387884,677.28,724.5,2,0.02,3.08530350788975,2.18940608392366,2.71621272347349,567.27,667.5,0,0,0.358723790904064,0.343965206523116,0.132278597343054,585.3,580,0,0
"Rhinoptera_sewelli","Rhinoptera sewelli",25.511957674999,23.6514097772027,9.70729968648186,678.06,688,0,0,2.29376890609343,2.18805402175745,0.737758452118748,599.34,601,0,0,0.344681205449084,0.337232974765074,0.0936915894129417,600.69,589,0,0
"Fenestraja_cubensis","Fenestraja cubensis",25.8743310436657,22.8059526887223,11.641643390152,678.32,656,0,0,1.84291931810465,1.07762138914784,1.87150127955844,821.55,905,0,0,0.268605964268171,0.240910351979049,0.11220907139798,905.39,962.5,0,0
"Etmopterus_perryi","Etmopterus perryi",26.08410927785,23.6967895130422,12.216473451512,679.76,709.5,0,0,2.28979362773985,2.28876237012583,1.14402370631449,628.78,645.5,0,0,0.571685708544637,0.582734757132862,0.195655464565182,425.46,432,0,0
"Rhinoptera_hainanensis","Rhinoptera hainanensis",25.5465091022659,24.3693548444611,10.2312590914721,680.48,682,0,0,2.30673902743135,2.21487379846833,0.811483950212006,599.48,605.5,0,0,0.344805658996207,0.337819385965843,0.0980278870927412,602.13,586.5,0,0
"Galeus_priapus","Galeus priapus",26.3402956582456,22.0666274151362,13.0291931269686,681.12,676.5,0,0,2.32573928718221,2.36501439149681,1.27284354125661,638.98,649,0,0,0.323170243374149,0.319793811717121,0.0998617300077366,665.76,649.5,0,0
"Etmopterus_robinsi","Etmopterus robinsi",25.632634826313,22.3818685598958,10.315106560401,682.35,712,0,0,2.21117174147756,2.19068627892359,0.952979827207668,638.85,658.5,0,0,0.569543974045217,0.584267326483786,0.192088557673593,426.91,432,0,0
"Etmopterus_viator","Etmopterus viator",25.7961633762093,23.2672219831503,11.5349640059279,682.54,728,0,0,2.27946402276948,2.2315785599739,1.30414560177763,635.81,661,0,0,0.568931836458908,0.569351803645312,0.194542677061908,429.35,436,0,0
"Parmaturus_lanatus","Parmaturus lanatus",25.5244759153837,24.1026694802238,10.102350043947,682.59,723.5,0,0,2.10560599078315,2.18606060448151,0.942375635638982,670.2,661.5,0,0,0.318127376365853,0.31285676998937,0.099957300670235,686.89,663.5,0,0
"Himantura_walga","Himantura walga",24.1328798682095,24.285094713941,3.08655354563036,682.61,726,0,0,1.51021036880727,1.47978958092258,0.280706326550728,790.27,842.5,0,0,0.281394297031434,0.27970343946344,0.0530975805188253,798.93,839,0,0
"Etmopterus_carteri","Etmopterus carteri",25.2146556985243,23.0644945104448,9.7775721813845,685.03,733.5,0,0,2.28345687711585,2.35946538292403,1.01982618567663,622.32,628,0,0,0.571716372196458,0.587785979196612,0.189200825908883,423.26,430,0,0
"Carcharhinus_sorrah","Carcharhinus sorrah",24.8028974960022,22.7039121206132,8.30553597504371,685.15,656.5,0,0,0.896722289482938,0.935798901213355,0.251744452844109,980.2,969,0,0,0.247790846978365,0.253251683245028,0.0613481062431997,966.35,959,0,0
"Apristurus_macrostomus","Apristurus macrostomus",26.7719304477971,23.1352388470517,15.9538611689374,685.55,750,0,0,2.20020113793158,1.86724375435898,2.44605245574295,713.92,772.5,0,0,0.313323194383159,0.302243898365065,0.106796266266164,708.98,701,0,0
"Urolophus_mitosis","Urolophus mitosis",25.4621416511182,23.313131555568,11.1008434601648,686.18,703,0,0,2.80840042199282,2.19130274223687,1.883889812487,567.61,653.5,0,0,0.354611800301428,0.338034311565253,0.108354796029684,586.16,580,0,0
"Rhizoprionodon_longurio","Rhizoprionodon longurio",24.3328823189663,25.3038382799675,5.43633215171827,686.67,654.5,0,0,1.72145564245539,1.76374558543719,0.850706456561419,785.88,782,0,0,0.279379286447573,0.281309152755923,0.0800643401750137,832.4,821.5,0,0
"Torpedo_marmorata","Torpedo marmorata",25.0519914638708,24.479959744125,8.95028868856735,687.14,692.5,0,0,2.5058444493664,2.40144622420478,0.443689321428408,558.52,596.5,0,0,0.648530476376487,0.634161103935778,0.098882935023862,371,388.5,0,0
"Apristurus_gibbosus","Apristurus gibbosus",25.8569880605971,22.74531301645,11.8491096283572,687.7,720,0,0,1.92916915453435,1.92383157200926,1.02759857887821,726.22,761,0,0,0.310332562951015,0.30953229567269,0.093307899064601,713.32,713.5,0,0
"Carcharhinus_sealei","Carcharhinus sealei",24.317904076815,24.683064113956,5.70671555547933,687.91,663,0,0,0.898719887249487,0.928917649012111,0.252790070637038,979.51,970.5,0,0,0.247971520787649,0.252740467701429,0.0613159644915647,965.97,957,0,0
"Torpedo_tremens","Torpedo tremens",25.6054017412692,22.2301720974371,11.8319341744125,688.01,709.5,0,0,2.65954106931408,2.45764796567691,0.823109537096092,537.8,583,0,0,0.65912011860175,0.633844701831711,0.11246351382708,365.28,385.5,0,0
"Urolophus_circularis","Urolophus circularis",26.5776361168273,22.5801731120829,14.6627561368248,688.28,740.5,1,0.01,2.86017257767385,2.16028401642721,2.32548766876264,576.55,666,0,0,0.355790511189398,0.341138195520299,0.124903222315539,585.35,582,0,0
"Galeus_gracilis","Galeus gracilis",26.2877311783197,22.2315928678384,14.3931859171126,688.3,728.5,0,0,2.47573834129706,2.38884223906142,1.99849823136151,632.69,668,0,0,0.324210406745747,0.317314785688424,0.103202939187497,665.01,652.5,0,0
"Torpedo_adenensis","Torpedo adenensis",25.4021040887198,22.5823194341359,10.7487915790718,688.57,696,0,0,2.60597878705843,2.43550608983967,0.620761697441565,543.69,580.5,0,0,0.655983780173416,0.633604166239012,0.105786553916736,366.05,385.5,0,0
"Apristurus_riveri","Apristurus riveri",25.7178889318319,22.2253530984699,11.3857434536765,688.82,758.5,0,0,1.90495857701386,1.86254008713752,0.978912090986213,730.35,773,0,0,0.310044340357928,0.31057843248837,0.0958928682396404,714.2,705.5,0,0
"Torpedo_panthera","Torpedo panthera",25.9089544646882,21.9352480566613,12.3664405400535,689.14,778,0,0,2.7264265410773,2.48312399331975,0.89643254382042,532.81,587,0,0,0.659691004722915,0.64525503468118,0.103318492594576,364.17,383.5,0,0
"Torpedo_zugmayeri","Torpedo zugmayeri",25.5531067687356,22.317590482387,11.5215439616666,689.22,705,0,0,2.67162730125492,2.47531453541372,0.832995816628097,535.81,568,0,0,0.658310947996503,0.639052438719717,0.108858898627628,365.47,383.5,0,0
