"Rank_ED","species_tree","species","ED"
272,"Squaliolus_aliae","Squaliolus aliae",42.5764439329094
273,"Halaelurus_boesemani","Halaelurus boesemani",42.5375821430852
274,"Mobula_eregoodootenkee","Mobula eregoodootenkee",42.4830526059301
275,"Okamejei_powelli","Okamejei powelli",42.2973925755963
276,"Asymbolus_funebris","Asymbolus funebris",42.2738170997696
277,"Scylliogaleus_quecketti","Scylliogaleus quecketti",42.1107027023628
278,"Triakis_megalopterus","Triakis megalopterus",42.1107027023628
279,"Etmopterus_pusillus","Etmopterus pusillus",42.0819334596581
280,"Etmopterus_bigelowi","Etmopterus bigelowi",42.0819334596581
281,"Sphyrna_lewini","Sphyrna lewini",42.0618820516917
282,"Urobatis_halleri","Urobatis halleri",42.0025934356122
283,"Cephaloscyllium_sufflans","Cephaloscyllium sufflans",41.7322697278075
284,"Hydrolagus_mccoskeri","Hydrolagus mccoskeri",41.64387599686
285,"Gymnura_zonura","Gymnura zonura",41.4907777916648
286,"Gymnura_bimaculata","Gymnura bimaculata",41.4907777916648
287,"Narcine_prodorsalis","Narcine prodorsalis",41.4409341320914
288,"Ctenacis_fehlmanni","Ctenacis fehlmanni",41.4013240587352
289,"Rhinoptera_bonasus","Rhinoptera bonasus",41.2699014251346
290,"Etmopterus_schultzi","Etmopterus schultzi",41.0260680992771
291,"Squalus_megalops","Squalus megalops",41.0074430506808
292,"Orectolobus_floridus","Orectolobus floridus",40.9633616310058
293,"Orectolobus_reticulatus","Orectolobus reticulatus",40.9633616310058
294,"Parmaturus_lanatus","Parmaturus lanatus",40.9275770049335
295,"Somniosus_microcephalus","Somniosus microcephalus",40.9001215037366
296,"Proscyllium_magnificum","Proscyllium magnificum",40.8935038530686
297,"Proscyllium_venustum","Proscyllium venustum",40.8935038530686
298,"Hydrolagus_melanophasma","Hydrolagus melanophasma",40.7751083940921
299,"Hydrolagus_matallanasi","Hydrolagus matallanasi",40.7729841589186
300,"Hydrolagus_pallidus","Hydrolagus pallidus",40.7729841589186
301,"Aculeola_nigra","Aculeola nigra",40.7351295470056
302,"Cirrhoscyllium_expolitum","Cirrhoscyllium expolitum",40.7056207494163
303,"Cirrhoscyllium_formosanum","Cirrhoscyllium formosanum",40.7056207494163
304,"Carcharhinus_amblyrhynchos","Carcharhinus amblyrhynchos",40.6853591466985
305,"Dipturus_oculus","Dipturus oculus",40.6770707077856
306,"Galeus_antillensis","Galeus antillensis",40.6545195239674
307,"Galeus_murinus","Galeus murinus",40.6545195239674
308,"Dasyatis_dipterura","Dasyatis dipterura",40.6186802859479
309,"Squalus_bucephalus","Squalus bucephalus",40.5267314562358
310,"Acroteriobatus_ocellatus","Acroteriobatus ocellatus",40.4846937776553
