"tip.label","mean_ED","median_ED","sd_ED","mean_rank","median_rank","top20_count","top20_frequency","species"
"Apristurus_laurussonii",20.2173725803822,19.4715086750701,6.83215206247584,834.39,894,0,0,"Apristurus laurussonii"
"Raja_macrorynchus",21.38807813158,17.6641845919006,11.9872740418099,834.57,911.5,0,0,"Raja macrorynchus"
"Centroscyllium_granulatum",20.1779955127225,20.9768323026418,4.20289894811822,835.06,838.5,0,0,"Centroscyllium granulatum"
"Cephaloscyllium_cooki",20.5168070919386,18.0537855459887,8.99760645628497,835.47,899,0,0,"Cephaloscyllium cooki"
"Potamotrygon_yepezi",19.707416970546,19.3470451551607,5.40273769715017,838.79,882,0,0,"Potamotrygon yepezi"
"Raja_bahamensis",21.2755770921328,17.4041539258418,12.828015256097,839.55,912,0,0,"Raja bahamensis"
"Raja_cervigoni",20.8224454527162,18.5365957525919,11.0459053367787,840.96,923,0,0,"Raja cervigoni"
"Dipturus_springeri",20.2638429225492,17.7792324489398,8.85055082103057,841.53,895.5,0,0,"Dipturus springeri"
"Raja_equatorialis",20.6655305436381,18.2476840063099,10.8415410475037,841.88,916,0,0,"Raja equatorialis"
"Torpedo_sinuspersici",19.5091692037964,18.961071102427,3.67110208255097,843.07,852.5,0,0,"Torpedo sinuspersici"
"Raja_texana",20.601713814853,18.119814393929,10.2159456643052,843.18,919,0,0,"Raja texana"
"Psammobatis_parvacauda",19.903094368101,17.8879295228712,6.88694304065965,844.28,892.5,0,0,"Psammobatis parvacauda"
"Psammobatis_rutrum",19.9084441702923,17.7038667262003,7.82176022794308,848.33,892.5,0,0,"Psammobatis rutrum"
"Apristurus_melanoasper",19.7667491608251,18.0968307411708,6.21255457851099,848.52,881.5,0,0,"Apristurus melanoasper"
"Galeus_melastomus",19.7689205150965,18.9976608610648,5.6429002453675,849.77,867.5,0,0,"Galeus melastomus"
"Nasolamia_velox",19.7623486138116,20.6800967355702,4.38916417100856,850.26,850.5,0,0,"Nasolamia velox"
