"tip.label","mean_ED","median_ED","sd_ED","mean_rank","median_rank","top20_count","top20_frequency","species","length","trophic.level","max.depth","vertical.position","reproductive.guild","growth.ratio","shape.pc1","shape.pc2","top20_ED_100tree"
"Squaliolus_laticaudus",62.6073009161602,60.9673537537024,17.7832758748572,118.36,88,0,0,"Squaliolus laticaudus",-1.7569817173333,0.268884941781409,0.950184916683047,"bathypelagic","aplacental viviparous",-1.00729682067502,0.229452809450397,0.867932266140738,"Other species"
"Eusphyra_blochii",56.2210212390519,57.6542330542371,9.09153567314284,125.42,125.5,0,0,"Eusphyra blochii",1.02666573574628,0.249124850699323,-0.0698970332776825,"benthopelagic","viviparous",0.252784585009537,2.32896886011555,0.106904771576646,"Other species"
"Loxodon_macrorhinus",54.8162357131403,55.3869478355764,7.83200245715894,132.36,135,0,0,"Loxodon macrorhinus",0.164451062459566,0.520765668846713,-1.10614781234875,"demersal","viviparous (with a yolk-sac placenta)",-1.2618727848158,0.936462858994209,-0.502293991242949,"Other species"
"Aulohalaelurus_labiosus",56.1543865917715,56.1928660505783,11.9246535366233,134.68,135.5,0,0,"Aulohalaelurus labiosus",-0.347236217791636,-0.770111029613995,-1.15756745541157,"demersal","oviparous",0.713401070953144,-1.77911476317145,0.0445645746351127,"Other species"
"Megachasma_pelagios",62.6132057658812,58.632115479936,22.9514132985602,134.75,127,8,0.08,"Megachasma pelagios",2.66609016351351,-1.30130247035033,0.37658540800809,"pelagic-oceanic","aplacental viviparous",-0.293496758387511,0.757648486974935,-2.91495258102567,"Other species"
"Aulohalaelurus_kanakorum",56.1543865917715,56.1928660505783,11.9246535366233,135.68,136.5,0,0,"Aulohalaelurus kanakorum",-0.125546155820293,-0.794072181479528,-1.69646565057368,"reef-associated","oviparous",0.812261539321638,-1.13189700876675,-0.76221937668938,"Other species"
"Pristiophorus_japonicus",60.5181077867796,56.3157683401689,18.0177064469174,135.93,89.5,0,0,"Pristiophorus japonicus",0.605378128770351,-0.795698344636161,0.225709002057216,"demersal","aplacental viviparous",0.495803187186547,-0.945354752303949,-0.14657594950578,"Other species"
"Rhincodon_typus",60.6770658561575,55.1894391022186,19.272274733173,137.54,123,4,0.04,"Rhincodon typus",4.11770645648081,-1.04581082089186,1.34256750297508,"pelagic-oceanic","aplacental viviparous",4.06566861965754,-0.865874162309821,-1.60432937994678,"Other species"
"Pseudotriakis_microdon",58.4177789287352,56.167504845553,17.6306514954865,138.31,117.5,0,0,"Pseudotriakis microdon",1.58663959835628,0.470302992041292,1.32609440358444,"bathydemersal","aplacental viviparous",-1.46426624567357,-0.819946262234461,-0.327201167509334,"Other species"
"Pseudocarcharias_kamoharai",61.2795746826228,56.6332701219552,22.8951221924137,139.08,142,6,0.06,"Pseudocarcharias kamoharai",0.391345097154112,0.297137346716398,0.362677027394422,"pelagic-oceanic","aplacental viviparous",-0.842970903098709,0.0818732590905661,-0.90582628059454,"Other species"
"Stegostoma_fasciatum",60.028889120862,54.5866015623653,18.1077532173709,139.55,129,4,0.04,"Stegostoma fasciatum",NA,NA,NA,NA,NA,NA,NA,NA,"Other species"
"Aetomylaeus_maculatus",55.3546792389621,55.3133680672367,10.5821082271661,148.54,105.5,0,0,"Aetomylaeus maculatus",NA,NA,NA,NA,NA,NA,NA,NA,"Other species"
"Centroselachus_crepidater",56.073115161417,61.3862900500543,14.9383950345586,148.57,119,0,0,"Centroselachus crepidater",0.544665325257252,1.08851415849481,1.1348427137391,"bathydemersal","aplacental viviparous",-0.0698402945627857,0.294211604346768,-0.00596155678630901,"Other species"
"Ginglymostoma_cirratum",54.87355080161,54.8841204962552,10.4348427812452,149.27,127,0,0,"Ginglymostoma cirratum",2.1543070936817,0.548425527244947,-0.889033731222654,"reef-associated","aplacental viviparous",2.58488621742086,-1.46379186179223,-0.445672304524625,"Other species"
"Galeus_eastmani",53.277888515116,56.1339873865403,11.0054932290821,150.7,140,0,0,"Galeus eastmani",-1.04130007507204,-0.795698344636161,0.583521865540399,"bathydemersal","oviparous",-1.22050022669378,0.736465692290298,-0.1210578052174,"Other species"
"Chaenogaleus_macrostoma",52.4491091480335,54.4533448960976,8.6814856852722,151.18,153,0,0,"Chaenogaleus macrostoma",0.191635263856933,0.297137346716398,-1.54277929568651,"demersal","viviparous (with a yolk-sac placenta)",0.323127922465816,1.27386206683973,0.148177223972687,"Other species"
"Galeus_sauteri",53.277888515116,56.1339873865403,11.0054932290821,151.7,141,0,0,"Galeus sauteri",-0.991764216145976,-0.352577628165491,-1.19333671206591,"demersal","oviparous",0.380729243006411,-0.764436590009963,-1.132247205296,"Other species"
"Cirrhoscyllium_formosanum",57.6854516122739,55.3036405040571,18.5048812961371,152.75,141,5,0.05,"Cirrhoscyllium formosanum",-1.07536701374357,-0.130307675177274,-0.143606592054896,"demersal","oviparous",0.0741232641212771,-1.09750922924805,0.207892939540937,"Other species"
"Nebrius_ferrugineus",54.7591703121546,53.7459021542984,11.8129884345147,154.08,127,0,0,"Nebrius ferrugineus",1.75673866174903,-0.430133999435993,-1.40130673146122,"reef-associated","oviparous",0.828665757653448,-1.47151387248799,-0.954650986879308,"Other species"
"Heterodontus_ramalheira",56.9787259017831,56.6467902355782,18.2419476274792,155.14,131,1,0.01,"Heterodontus ramalheira",-0.222645937612286,-1.89707707689491,-0.183335621198343,"demersal","oviparous",-0.0916158421386896,1.38242543657952,0.0791018240155578,"Other species"
"Rhinobatos_lentiginosus",65.2642909270637,58.0397976727485,29.6541150418134,155.49,99.5,21,0.21,"Rhinobatos lentiginosus",NA,NA,NA,NA,NA,NA,NA,NA,"Other species"
"Rhinochimaera_pacifica",52.6947375748041,53.5423285230135,5.01616956530116,157.12,141.5,0,0,"Rhinochimaera pacifica",NA,NA,NA,NA,NA,NA,NA,NA,"Other species"
"Harriotta_raleighana",52.6475325212682,50.7559813723654,6.31802279089488,157.21,155.5,0,0,"Harriotta raleighana",NA,NA,NA,NA,NA,NA,NA,NA,"Other species"
"Harriotta_haeckeli",52.6475325212682,50.7559813723654,6.31802279089488,158.21,156.5,0,0,"Harriotta haeckeli",NA,NA,NA,NA,NA,NA,NA,NA,"Other species"
"Sphyrna_mokarran",51.2344905500748,52.4086677927931,7.74301089655218,159.74,159,0,0,"Sphyrna mokarran",2.62481836985125,0.902263251355106,-0.197014100666867,"pelagic-oceanic","viviparous",1.77645450187238,1.60437764265352,-0.794704079575516,"Other species"
"Cirrhoscyllium_japonicum",57.3808213111433,54.9518313601668,19.2393662210367,159.75,141.5,4,0.04,"Cirrhoscyllium japonicum",-0.775111253754955,0.0324191818980944,-0.225068623472227,"bathydemersal","oviparous",-0.00838421668952233,-1.39806781972116,0.236327423247413,"Other species"
"Trygonoptera_personata",53.4891679072338,55.5138263605349,10.2994111730744,159.87,126,0,0,"Trygonoptera personata",NA,NA,NA,NA,NA,NA,NA,NA,"Other species"
"Pseudoginglymostoma_brevicaudatum",57.1699868456184,53.047482298504,18.0187539286631,160.35,148.5,5,0.05,"Pseudoginglymostoma brevicaudatum",-0.195461736214918,-0.797269146214996,-1.59106315711557,"reef-associated","oviparous",0.819023003475599,-1.45557088062504,-0.226788144401875,"Other species"
"Cirrhoscyllium_expolitum",56.2540880203189,53.7332555510608,17.4861887573622,160.8,149,2,0.02,"Cirrhoscyllium expolitum",-1.25998102911036,-0.853332672327824,-0.574995000831608,"demersal","oviparous",-0.109792626315242,-1.3051533537822,0.596560845866259,"Other species"
"Cirrhigaleus_asper",59.8617289663649,67.6098790869185,21.4036275265885,163.67,78,0,0,"Cirrhigaleus asper",0.408633200536031,1.08851415849481,0.442823083183316,"bathydemersal","aplacental viviparous",0.0770877533640637,0.996665503600902,0.94062151378921,"Other species"
"Rhinochimaera_africana",51.5319112800518,51.2038534594044,5.53821968071988,167.4,149,0,0,"Rhinochimaera africana",NA,NA,NA,NA,NA,NA,NA,NA,"Other species"
"Rhinobatos_penggali",58.324551347309,56.8386691357746,21.2220008759766,169.94,116.5,0,0,"Rhinobatos penggali",NA,NA,NA,NA,NA,NA,NA,NA,"Other species"
"Pristiophorus_nudipinnis",54.2455538448516,52.9543488259178,15.9678947718518,171.61,130,0,0,"Pristiophorus nudipinnis",0.459203451981922,-0.435882284557873,-0.691741655677787,"demersal","aplacental viviparous",0.0050504917386656,-1.13987045737836,0.142463602771252,"Other species"
"Centroscymnus_coelolepis",53.3090083157222,59.6990885859313,14.8550382958279,172.8,121.5,0,0,"Centroscymnus coelolepis",0.448128721124742,0.240566269267659,1.88199207864111,"bathydemersal","aplacental viviparous",-0.047420579263261,0.47926363146615,0.303771459542471,"Other species"
"Heterodontus_quoyi",55.6983852022957,51.1992194646741,22.2163810498506,175.91,171.5,4,0.04,"Heterodontus quoyi",0.282674860554497,-1.76207671714819,-1.86440511807977,"reef-associated","oviparous",0.794502133523008,0.320315295019131,-0.937451744752397,"Other species"
"Planonasus_parini",53.3647351343152,52.9812895631374,16.7874298882045,177.24,162.5,1,0.01,"Planonasus parini",-0.652522121650108,0.177891288313196,0.893091303238612,"bathydemersal","oviparous",-0.348847692241206,-0.131521878304312,-0.664686514831012,"Other species"
"Heterodontus_omanensis",53.9971701705798,50.6861099452666,18.619922064281,180.93,178,2,0.02,"Heterodontus omanensis",-0.529784434875065,-0.3686013081127,-1.29080560940481,"demersal","oviparous",0.12044961011654,1.05510614071464,-0.577340917510273,"Other species"
"Heterodontus_japonicus",54.6657409067549,49.3984460762785,21.1557312229981,181.64,180,5,0.05,"Heterodontus japonicus",0.436962082736822,-1.49659295815412,-1.10614781234875,"demersal","oviparous",0.912263976169507,0.883370539190253,-0.938626256659595,"Other species"
"Narcine_lasti",49.7083585353963,49.511865178282,6.02586970394365,184.62,184.5,0,0,"Narcine lasti",NA,NA,NA,NA,NA,NA,NA,NA,"Other species"
"Narcine_tasmaniensis",49.7083585353963,49.511865178282,6.02586970394365,185.62,185.5,0,0,"Narcine tasmaniensis",NA,NA,NA,NA,NA,NA,NA,NA,"Other species"
"Urobatis_jamaicensis",53.5075537822059,57.250721877863,15.2756328756864,187.44,110,0,0,"Urobatis jamaicensis",NA,NA,NA,NA,NA,NA,NA,NA,"Other species"
"Rhinochimaera_atlantica",49.6744337613401,48.3282540575862,6.58074271685605,187.81,184,0,0,"Rhinochimaera atlantica",NA,NA,NA,NA,NA,NA,NA,NA,"Other species"
"Odontaspis_noronhai",52.1675959774033,51.9599075517547,15.8880666562616,189.62,168,0,0,"Odontaspis noronhai",1.86379483899934,0.501344529774576,0.799308510732174,"pelagic-oceanic","aplacental viviparous",-0.427878500314983,0.439738538627932,-0.727183926638076,"Other species"
"Odontaspis_ferox",52.1675959774033,51.9599075517547,15.8880666562616,190.62,169,0,0,"Odontaspis ferox",2.2154800005343,0.155201323646546,1.37290801940713,"benthopelagic","aplacental viviparous",0.0567957659467289,0.942689118846349,-0.438569747259126,"Other species"
