"Rank_rho001","species_tree","species","EvoHeritage_rho001","Ancestral_EvoHeritage"
204,"Torpedo_mackayana","Torpedo mackayana",38.6186476341719,97.5184049258933
205,"Dactylobatus_armatus","Dactylobatus armatus",38.6173178850685,100.991570791017
206,"Somniosus_longus","Somniosus longus",38.5193146181868,105.541216019219
207,"Aptychotrema_rostrata","Aptychotrema rostrata",38.4599647292591,101.537658407327
208,"Callorhinchus_milii","Callorhinchus milii",38.364927559578,99.5340322346194
209,"Urobatis_halleri","Urobatis halleri",38.2847991729899,100.526618435153
210,"Gymnura_japonica","Gymnura japonica",38.2696573847639,99.3635899806174
211,"Squatina_armata","Squatina armata",38.2654184085151,94.840670262025
212,"Apristurus_investigatoris","Apristurus investigatoris",38.2618210522932,94.1453939281179
213,"Mustelus_sinusmexicanus","Mustelus sinusmexicanus",38.2570291021445,99.8636355805188
214,"Rhinobatos_irvinei","Rhinobatos irvinei",38.2200654551622,105.899566930568
215,"Torpedo_bauchotae","Torpedo bauchotae",38.177189002952,96.8229762801658
216,"Mobula_eregoodootenkee","Mobula eregoodootenkee",38.1691967243658,107.096259752953
217,"Gymnura_australis","Gymnura australis",38.0214054830704,98.3525568786432
218,"Odontaspis_noronhai","Odontaspis noronhai",37.971694349306,95.651695501256
219,"Acroteriobatus_salalah","Acroteriobatus salalah",37.9633766548762,101.903719966817
220,"Hydrolagus_mitsukurii","Hydrolagus mitsukurii",37.8206878362217,102.523606850542
221,"Torpedo_suessii","Torpedo suessii",37.8094751931254,95.5902940065698
222,"Cephaloscyllium_maculatum","Cephaloscyllium maculatum",37.757184317288,100.474585913609
223,"Mobula_rochebrunei","Mobula rochebrunei",37.7258836646737,104.807150589087
224,"Narcine_ornata","Narcine ornata",37.6727023687437,94.8338525038971
225,"Parascyllium_sparsimaculatum","Parascyllium sparsimaculatum",37.5706790462714,102.086986002626
226,"Rhinochimaera_atlantica","Rhinochimaera atlantica",37.5631196147913,100.706805460217
227,"Mustelus_griseus","Mustelus griseus",37.554826893543,100.046501042581
228,"Glaucostegus_halavi","Glaucostegus halavi",37.5545078795544,98.654459226632
229,"Rhinochimaera_africana","Rhinochimaera africana",37.4934985335867,98.4939682159859
230,"Rhinobatos_productus","Rhinobatos productus",37.4890783453322,102.047782593209
231,"Rhinobatos_leucorhynchus","Rhinobatos leucorhynchus",37.4629597170594,102.457588609879
232,"Heterodontus_omanensis","Heterodontus omanensis",37.3921262203517,105.291705840005
233,"Anacanthobatis_longirostris","Anacanthobatis longirostris",37.3877869637309,97.559952929379
234,"Squatina_aculeata","Squatina aculeata",37.325362280672,100.839946190222
235,"Neoharriotta_pumila","Neoharriotta pumila",37.3017688742133,99.5039329833269
236,"Rhinoptera_bonasus","Rhinoptera bonasus",37.299079885141,98.8903800851068
237,"Somniosus_rostratus","Somniosus rostratus",37.2099137135301,106.219417574921
238,"Squalus_megalops","Squalus megalops",37.2028537248789,103.132896395217
239,"Asymbolus_funebris","Asymbolus funebris",37.0862647721982,103.82447762114
240,"Carcharhinus_signatus","Carcharhinus signatus",37.0837180588123,102.182434987777
241,"Callorhinchus_callorynchus","Callorhinchus callorynchus",37.0656389149556,92.0030671792434
242,"Parmaturus_lanatus","Parmaturus lanatus",36.8441805819383,100.959887196362
243,"Mustelus_mangalorensis","Mustelus mangalorensis",36.7647018817836,102.806255681638
244,"Squatina_argentina","Squatina argentina",36.7297316961982,91.509560577963
245,"Gymnura_zonura","Gymnura zonura",36.6908829970944,105.7238023903
246,"Heterodontus_japonicus","Heterodontus japonicus",36.6411195636165,103.102211303999
247,"Okamejei_powelli","Okamejei powelli",36.590591514345,101.811742338793
248,"Rhinobatos_lentiginosus","Rhinobatos lentiginosus",36.5450609727969,103.484703444104
249,"Sphyrna_lewini","Sphyrna lewini",36.4734425240318,96.8432746767309
250,"Etmopterus_gracilispinis","Etmopterus gracilispinis",36.3870956602479,97.0221208097705
251,"Etmopterus_bigelowi","Etmopterus bigelowi",36.3766463901998,104.489077528902
252,"Scylliogaleus_quecketti","Scylliogaleus quecketti",36.3031590211664,100.913684223081
253,"Paratrygon_aiereba","Paratrygon aiereba",36.2635304490069,98.385801434384
254,"Scyliorhinus_hesperius","Scyliorhinus hesperius",36.2058557116922,94.0959178760108
255,"Hexanchus_griseus","Hexanchus griseus",36.1901829819552,106.337284534893
256,"Gymnura_bimaculata","Gymnura bimaculata",36.1603082288963,105.228596375545
257,"Rhincodon_typus","Rhincodon typus",36.1389780707327,97.2634751489419
258,"Triakis_megalopterus","Triakis megalopterus",36.0444371857662,100.239976249119
259,"Torpedo_semipelagica","Torpedo semipelagica",35.98630947808,98.4678254074804
260,"Dasyatis_dipterura","Dasyatis dipterura",35.9689101717818,98.7424847685417
261,"Negaprion_acutidens","Negaprion acutidens",35.8581708646964,96.1622447043513
262,"Halaelurus_boesemani","Halaelurus boesemani",35.7382196791717,97.8952063457212
263,"Hydrolagus_africanus","Hydrolagus africanus",35.7009840674935,102.742992241669
264,"Etmopterus_pusillus","Etmopterus pusillus",35.699334414569,101.293552031301
265,"Squaliolus_aliae","Squaliolus aliae",35.6640064433435,96.4723061724323
266,"Aulohalaelurus_kanakorum","Aulohalaelurus kanakorum",35.5594310555932,95.7735143056553
267,"Etmopterus_schultzi","Etmopterus schultzi",35.4716306590703,96.976893507849
268,"Myliobatis_chilensis","Myliobatis chilensis",35.4079651972026,99.2677077615744
269,"Gurgesiella_furvescens","Gurgesiella furvescens",35.3817058493816,104.473501240202
270,"Rhinoptera_jayakari","Rhinoptera jayakari",35.3699906610028,99.5155519749113
271,"Deania_hystricosa","Deania hystricosa",35.3657209595982,101.356506791238
272,"Etmopterus_lucifer","Etmopterus lucifer",35.3613487751829,101.350034977053
273,"Aulohalaelurus_labiosus","Aulohalaelurus labiosus",35.3611343208428,96.8923179451963
274,"Narcine_prodorsalis","Narcine prodorsalis",35.3114552401412,94.9927649108621
275,"Nebrius_ferrugineus","Nebrius ferrugineus",35.2111043499846,96.0218827286135
276,"Negaprion_brevirostris","Negaprion brevirostris",35.2096815003907,96.8052065739966
277,"Hydrolagus_novaezealandiae","Hydrolagus novaezealandiae",35.1869250655641,98.8163614161039
278,"Galeus_antillensis","Galeus antillensis",35.1796829896038,108.306827891977
279,"Pastinachus_solocirostris","Pastinachus solocirostris",35.1170151157232,99.8341988652148
280,"Schroederichthys_maculatus","Schroederichthys maculatus",35.0253206619516,100.405795575818
281,"Cephaloscyllium_sufflans","Cephaloscyllium sufflans",34.7878126065569,97.0641933948585
282,"Urobatis_tumbesensis","Urobatis tumbesensis",34.744036415023,96.4561879111819
283,"Hexanchus_nakamurai","Hexanchus nakamurai",34.7373998562278,103.556765487843
284,"Urogymnus_asperrimus","Urogymnus asperrimus",34.6927358928977,102.047550177514
285,"Dasyatis_colarensis","Dasyatis colarensis",34.6689826065872,100.191987332973
286,"Hydrolagus_melanophasma","Hydrolagus melanophasma",34.6383591116427,97.8143055543745
287,"Dasyatis_margarita","Dasyatis margarita",34.561295364779,97.1457826232495
288,"Pastinachus_stellurostris","Pastinachus stellurostris",34.4781095247764,98.6476543000336
289,"Heteroscymnoides_marleyi","Heteroscymnoides marleyi",34.4457739470508,95.2245388597166
290,"Rhinoptera_steindachneri","Rhinoptera steindachneri",34.4415681394168,98.1464114763462
291,"Apristurus_internatus","Apristurus internatus",34.3275617140258,104.204645062426
