"species","Rank_ED","ED","Rank_min0","EvoHeritage_min0","Rank_min66","EvoHeritage_min66","Rank_min145","EvoHeritage_min145","change_min0_vs_ED","change_min66_vs_ED","change_min145_vs_ED","scientificname","valid_name","class","order","family","genus","major_group"
"Apristurus canutus",56,73.4275560920478,65,54.1922767721889,259,5.7468497455318,818,0.264512714392751,9,203,762,"Apristurus canutus","Apristurus canutus","Elasmobranchii","Carcharhiniformes","Pentanchidae","Apristurus","shark"
"Apristurus exsanguis",107,58.4361173975862,103,47.1392879255245,533,2.6872131137574,683,0.317031326642607,-4,426,576,"Apristurus exsanguis","Apristurus exsanguis","Elasmobranchii","Carcharhiniformes","Pentanchidae","Apristurus","shark"
"Apristurus fedorovi",1014,16.156485841007,996,14.4762798865322,792,1.77914549050848,605,0.340874243456559,-18,-222,-409,"Apristurus fedorovi","Apristurus fedorovi","Elasmobranchii","Carcharhiniformes","Pentanchidae","Apristurus","shark"
"Apristurus gibbosus",456,33.2053077463012,414,29.3264718322266,678,2.10420945007431,610,0.339689048792116,-42,222,154,"Apristurus gibbosus","Apristurus gibbosus","Elasmobranchii","Carcharhiniformes","Pentanchidae","Apristurus","shark"
"Apristurus herklotsi",578,29.4258290284196,537,26.3940215636502,591,2.36485828905398,719,0.305305837433153,-41,13,141,"Apristurus herklotsi","Apristurus herklotsi","Elasmobranchii","Carcharhiniformes","Pentanchidae","Apristurus","shark"
"Apristurus indicus",1013,16.156485841007,989,14.6356777606868,795,1.76490620129666,607,0.340548679534857,-24,-218,-406,"Apristurus indicus","Apristurus indicus","Elasmobranchii","Carcharhiniformes","Pentanchidae","Apristurus","shark"
"Apristurus internatus",354,38.1003749055862,286,34.2579675814604,585,2.40744530148966,681,0.317912774846865,-68,231,327,"Apristurus internatus","Apristurus internatus","Elasmobranchii","Carcharhiniformes","Pentanchidae","Apristurus","shark"
"Apristurus investigatoris",247,44.5527780326345,204,38.5706087300283,711,2.01947215167758,704,0.311177545555428,-43,464,457,"Apristurus investigatoris","Apristurus investigatoris","Elasmobranchii","Carcharhiniformes","Pentanchidae","Apristurus","shark"
"Apristurus japonicus",388,36.5144406350148,355,31.4775306005949,589,2.37071472901247,736,0.299337320817939,-33,201,348,"Apristurus japonicus","Apristurus japonicus","Elasmobranchii","Carcharhiniformes","Pentanchidae","Apristurus","shark"
"Apristurus kampae",883,19.643371686507,859,18.0744505586144,794,1.76841716251455,646,0.326378156223534,-24,-89,-237,"Apristurus kampae","Apristurus kampae","Elasmobranchii","Carcharhiniformes","Pentanchidae","Apristurus","shark"
"Apristurus laurussonii",515,31.1255909458481,477,27.6727679878962,614,2.28218507096605,689,0.315603366636217,-38,99,174,"Apristurus laurussonii","Apristurus laurussonii","Elasmobranchii","Carcharhiniformes","Pentanchidae","Apristurus","shark"
"Apristurus longicephalus",470,32.8049364533012,483,27.6003452170832,634,2.23798678232751,654,0.324100538884572,13,164,184,"Apristurus longicephalus","Apristurus longicephalus","Elasmobranchii","Carcharhiniformes","Pentanchidae","Apristurus","shark"
"Apristurus macrorhynchus",387,36.5216387600862,327,32.7994041518211,544,2.61384782051303,805,0.268134967424669,-60,157,418,"Apristurus macrorhynchus","Apristurus macrorhynchus","Elasmobranchii","Carcharhiniformes","Pentanchidae","Apristurus","shark"
"Apristurus macrostomus",849,20.5852785565153,816,18.956175126388,755,1.87224101232003,589,0.34648607091724,-33,-94,-260,"Apristurus macrostomus","Apristurus macrostomus","Elasmobranchii","Carcharhiniformes","Pentanchidae","Apristurus","shark"
"Apristurus manis",1058,14.715066344107,1079,12.7531112251073,800,1.74335301093632,590,0.346289239145172,21,-258,-468,"Apristurus manis","Apristurus manis","Elasmobranchii","Carcharhiniformes","Pentanchidae","Apristurus","shark"
"Apristurus melanoasper",828,21.2205697841815,828,18.7474520764309,667,2.13467721104424,617,0.335703312796628,0,-161,-211,"Apristurus melanoasper","Apristurus melanoasper","Elasmobranchii","Carcharhiniformes","Pentanchidae","Apristurus","shark"
"Apristurus microps",1059,14.715066344107,1062,12.9420295184102,802,1.74259390836695,584,0.349223814373231,3,-257,-475,"Apristurus microps","Apristurus microps","Elasmobranchii","Carcharhiniformes","Pentanchidae","Apristurus","shark"
"Apristurus micropterygeus",579,29.4258290284196,548,25.7980675538792,588,2.37734459424357,648,0.325751925689658,-31,9,69,"Apristurus micropterygeus","Apristurus micropterygeus","Elasmobranchii","Carcharhiniformes","Pentanchidae","Apristurus","shark"
"Apristurus nasutus",469,32.8049374533012,447,28.5447585925525,613,2.28532483868749,626,0.333377684739581,-22,144,157,"Apristurus nasutus","Apristurus nasutus","Elasmobranchii","Carcharhiniformes","Pentanchidae","Apristurus","shark"
"Apristurus parvipinnis",957,17.6372722441737,945,15.9038625877583,753,1.87305730343595,671,0.319947673113173,-12,-204,-286,"Apristurus parvipinnis","Apristurus parvipinnis","Elasmobranchii","Carcharhiniformes","Pentanchidae","Apristurus","shark"
"Apristurus pinguis",636,27.2900424645759,569,25.3224709717154,785,1.80348711997828,575,0.35382437166642,-67,149,-61,"Apristurus pinguis","Apristurus pinguis","Elasmobranchii","Carcharhiniformes","Pentanchidae","Apristurus","shark"
"Apristurus platyrhynchus",829,21.1238575347815,829,18.730975182309,682,2.08728933926934,582,0.349803017104978,0,-147,-247,"Apristurus platyrhynchus","Apristurus platyrhynchus","Elasmobranchii","Carcharhiniformes","Pentanchidae","Apristurus","shark"
"Apristurus profundorum",637,27.2900424645759,573,25.1901227848708,761,1.85834186948157,568,0.360579312922824,-64,124,-69,"Apristurus profundorum","Apristurus profundorum","Elasmobranchii","Carcharhiniformes","Pentanchidae","Apristurus","shark"
"Apristurus riveri",492,31.8518284046345,446,28.54527814077,645,2.18408552187874,651,0.324596065163082,-46,153,159,"Apristurus riveri","Apristurus riveri","Elasmobranchii","Carcharhiniformes","Pentanchidae","Apristurus","shark"
"Apristurus saldanha",40,82.9052859213335,46,57.9688438882812,118,9.22862847256679,625,0.333653097548284,6,78,585,"Apristurus saldanha","Apristurus saldanha","Elasmobranchii","Carcharhiniformes","Pentanchidae","Apristurus","shark"
"Apristurus sibogae",615,28.1010479873481,579,25.0715688542311,623,2.27397839888062,725,0.303321947441557,-36,8,110,"Apristurus sibogae","Apristurus sibogae","Elasmobranchii","Carcharhiniformes","Pentanchidae","Apristurus","shark"
"Apristurus sinensis",830,21.1238575347815,841,18.4267353716837,658,2.15819647159699,599,0.34314569046912,11,-172,-231,"Apristurus sinensis","Apristurus sinensis","Elasmobranchii","Carcharhiniformes","Pentanchidae","Apristurus","shark"
"Apristurus spongiceps",516,30.9887851274196,468,28.0471543429274,571,2.49384328438694,656,0.323666440810684,-48,55,140,"Apristurus spongiceps","Apristurus spongiceps","Elasmobranchii","Carcharhiniformes","Pentanchidae","Apristurus","shark"
"Apristurus stenseni",491,31.8518284046345,426,29.0341535536515,583,2.41567707622893,639,0.328335373833824,-65,92,148,"Apristurus stenseni","Apristurus stenseni","Elasmobranchii","Carcharhiniformes","Pentanchidae","Apristurus","shark"
"Aptychotrema rostrata",100,60.2571069563372,190,39.0555367302151,58,14.0045157384614,42,3.41519856720576,90,-42,-58,"Aptychotrema rostrata","Aptychotrema rostrata","Elasmobranchii","Rhinopristiformes","Trygonorrhinidae","Aptychotrema","ray"
"Aptychotrema timorensis",99,60.2571069563372,208,38.325043107902,57,14.0943386112918,47,3.11225613357887,109,-42,-52,"Aptychotrema timorensis","Aptychotrema timorensis","Elasmobranchii","Rhinopristiformes","Trygonorrhinidae","Aptychotrema","ray"
"Aptychotrema vincentiana",55,74.4174995403372,47,57.8227449356213,42,16.4275785124611,30,3.82252177281587,-8,-13,-25,"Aptychotrema vincentiana","Aptychotrema vincentiana","Elasmobranchii","Rhinopristiformes","Trygonorrhinidae","Aptychotrema","ray"
"Arhynchobatis asperrimus",640,27.2677503063219,640,23.5223568464195,1010,0.819596168473563,1071,0.183121631142073,0,370,431,"Arhynchobatis asperrimus","Arhynchobatis asperrimus","Elasmobranchii","Rajiformes","Arhynchobatidae","Arhynchobatis","ray"
"Asymbolus analis",961,17.5198474527874,978,15.041571368765,599,2.33920533955759,586,0.348978476995313,17,-362,-375,"Asymbolus analis","Asymbolus analis","Elasmobranchii","Carcharhiniformes","Pentanchidae","Asymbolus","shark"
"Asymbolus funebris",276,42.2738170997696,231,37.4349823577537,487,3.16994167365397,583,0.349698775651446,-45,211,307,"Asymbolus funebris","Asymbolus funebris","Elasmobranchii","Carcharhiniformes","Pentanchidae","Asymbolus","shark"
