"tip.label","mean_ED","median_ED","sd_ED","mean_rank","top20_count","top20_frequency","mean_EH_66","median_EH_66","sd_EH_66","mean_rank_66","median_rank_66","top20_count_66","top20_frequency_66","mean_EH_145","median_EH_145","sd_EH_145","mean_rank_145","median_rank_145","top20_count_145","top20_frequency_145","species","rank_change_66_vs_ED","rank_change_145_vs_ED","rank_change_145_vs_66"
"Aptychotrema_rostrata",62.9972899186477,66.0684892872629,13.9753000340133,94.66,0,0,14.2989317738894,14.9676635216955,4.18257332287382,50.75,49.5,0,0,3.78127946105512,3.92601130567021,1.44535508614225,36.63,33,7,0.07,"Aptychotrema rostrata",-43.91,-58.03,-14.12
"Neoharriotta_pinnata",65.9056152477458,60.5667830768252,14.6157757817998,95.83,8,0.08,16.3183734236242,15.3216259406424,3.67821386657999,45.52,42,23,0.23,4.19841737190619,3.97853581680672,1.18225519270752,34.76,30.5,39,0.39,"Neoharriotta pinnata",-50.31,-61.07,-10.76
"Eucrossorhinus_dasypogon",65.6299002458368,69.0579270111199,18.8341056007834,97.35,0,0,11.4826689625565,11.2501938830689,4.80096172201981,89.7,88,0,0,2.63973296842923,2.66091422802577,1.31693391703544,76.21,71,0,0,"Eucrossorhinus dasypogon",-7.64999999999999,-21.14,-13.49
"Neoharriotta_pumila",64.8306738394118,59.2077940972978,14.4662570072043,99.34,8,0.08,15.9673627722871,14.9711426622383,3.40815848783744,45.59,44.5,22,0.22,4.1741197809243,3.86204409532967,1.22288477626365,36.3,30,37,0.37,"Neoharriotta pumila",-53.75,-63.04,-9.29000000000001
"Okamejei_jensenae",61.5796468429807,63.9940726022893,13.3376821514935,99.5,0,0,3.92677522376799,3.02922210581086,3.47988837650497,560.01,476,0,0,0.274980451744578,0.250744911188579,0.119677588283811,868.98,897.5,0,0,"Okamejei jensenae",460.51,769.48,308.97
"Makararaja_chindwinensis",65.6233042528094,61.8491134618744,17.3957869466027,101.78,6,0.06,8.10564634228545,6.90548255142068,4.40561013533016,180.29,172,0,0,0.324923263374952,0.295939177589453,0.137670279041367,690.64,690.5,0,0,"Makararaja chindwinensis",78.51,588.86,510.35
"Neoharriotta_carri",63.3579333494528,59.5875634985802,12.6142977437078,102.1,1,0.01,15.6636768656219,14.9859149892084,2.9966218492211,46.51,46.5,23,0.23,4.00198913178951,3.78861289034848,0.864128628390795,36.69,32,35,0.35,"Neoharriotta carri",-55.59,-65.41,-9.82
"Aptychotrema_timorensis",62.0725948705647,61.8311308377017,16.0045668521779,105.29,3,0.03,14.3176930678892,14.6194149098664,4.67543665360605,52.53,53,4,0.04,3.7325072286732,3.7027613394755,1.50067852489288,38.35,37,12,0.12,"Aptychotrema timorensis",-52.76,-66.94,-14.18
"Hexanchus_vitulus",60.066445527016,59.7907426066961,10.7525835566143,106.83,0,0,12.4075379887674,12.3860811429534,2.02364718067594,69.34,73,0,0,4.24796593896741,4.25436029382399,1.21115990599112,27.66,26.5,26,0.26,"Hexanchus vitulus",-37.49,-79.17,-41.68
"Hexanchus_nakamurai",60.1150326269471,59.5300592212477,11.6314081232421,108.24,0,0,12.5365190933266,12.3991293904668,2.16732408588624,68.78,67.5,0,0,4.25712225750467,4.11939910393681,1.27139755997872,27.89,26.5,31,0.31,"Hexanchus nakamurai",-39.46,-80.35,-40.89
