"species","Rank","species_tree.x","ED_github","Rank_rho001","species_tree.y","EvoHeritage_rho001","Ancestral_EvoHeritage","rank_change"
"Bathyraja tzinovskii",951,"Bathyraja_tzinovskii",17.7262064619994,917,"Bathyraja_tzinovskii",16.4728632673163,100.70672781414,-34
"Bathyraja violacea",1192,"Bathyraja_violacea",6.77024973232801,1191,"Bathyraja_violacea",5.87859474036653,101.591853473307,-1
"Benthobatis kreffti",495,"Benthobatis_kreffti",31.7614276418941,557,"Benthobatis_kreffti",25.7790806520888,97.1199150380037,62
"Benthobatis marcida",148,"Benthobatis_marcida",51.8967398842274,109,"Benthobatis_marcida",45.8656291315497,100.460386102339,-39
"Benthobatis moresbyi",372,"Benthobatis_moresbyi",37.3413307308941,379,"Benthobatis_moresbyi",30.622239974509,96.2197648914861,7
"Benthobatis yangi",496,"Benthobatis_yangi",31.7614276418941,575,"Benthobatis_yangi",25.3442677610022,96.1187101572416,79
"Beringraja binoculata",462,"Beringraja_binoculata",33.0971609343492,400,"Beringraja_binoculata",29.7610805073816,98.4652749915922,-62
"Beringraja pulchra",463,"Beringraja_pulchra",33.0971609343492,413,"Beringraja_pulchra",29.3999009328942,100.197508716124,-50
"Brachaelurus colcloughi",13,"Brachaelurus_colcloughi",106.983319344262,12,"Brachaelurus_colcloughi",74.0786514692532,97.0011299699592,-1
"Brachaelurus waddi",14,"Brachaelurus_waddi",106.983319344262,7,"Brachaelurus_waddi",75.2655147459156,105.043758573812,-7
"Breviraja claramaculata",720,"Breviraja_claramaculata",24.615792138659,691,"Breviraja_claramaculata",21.8801700868073,106.827456934603,-29
"Breviraja colesi",719,"Breviraja_colesi",24.615792138659,699,"Breviraja_colesi",21.6684368115409,105.024373754128,-20
"Breviraja nigriventralis",573,"Breviraja_nigriventralis",29.6231098433256,548,"Breviraja_nigriventralis",25.9714686567877,101.898496554981,-25
"Breviraja spinosa",701,"Breviraja_spinosa",25.364746989659,679,"Breviraja_spinosa",22.3065807855536,104.407934350592,-22
"Brochiraja aenigma",809,"Brochiraja_aenigma",21.8291803751382,750,"Brochiraja_aenigma",20.5554418752412,104.304572602128,-59
"Brochiraja albilabiata",1078,"Brochiraja_albilabiata",14.0032323094632,1084,"Brochiraja_albilabiata",12.5747198410627,105.305442362893,6
"Brochiraja asperula",1011,"Brochiraja_asperula",16.1715535308632,942,"Brochiraja_asperula",16.0091105245782,107.224098448367,-69
"Brochiraja heuresa",861,"Brochiraja_heuresa",20.3016499916382,798,"Brochiraja_heuresa",19.4976037262318,104.348711912871,-63
"Brochiraja leviveneta",1077,"Brochiraja_leviveneta",14.0032323094632,1074,"Brochiraja_leviveneta",12.7938033691461,105.650525518523,-3
"Brochiraja microspinifera",512,"Brochiraja_microspinifera",31.1774827151382,465,"Brochiraja_microspinifera",27.9385503812881,106.009661974683,-47
"Brochiraja spinifera",1012,"Brochiraja_spinifera",16.1715535308632,968,"Brochiraja_spinifera",15.3845823460828,107.558945391217,-44
"Brochiraja vittacauda",860,"Brochiraja_vittacauda",20.3016499916382,835,"Brochiraja_vittacauda",18.5325352833077,101.137238341951,-25
"Bythaelurus alcockii",574,"Bythaelurus_alcockii",29.5597572619817,510,"Bythaelurus_alcockii",27.0490304637284,106.036098492104,-64
"Bythaelurus canescens",174,"Bythaelurus_canescens",49.2501867434817,117,"Bythaelurus_canescens",44.6758092420401,103.960488485389,-57
"Bythaelurus clevai",665,"Bythaelurus_clevai",26.534511219815,702,"Bythaelurus_clevai",21.6485906398916,105.12304077877,37
"Bythaelurus dawsoni",771,"Bythaelurus_dawsoni",23.1635101056484,790,"Bythaelurus_dawsoni",19.6519934930006,102.582983224731,19
"Bythaelurus giddingsi",575,"Bythaelurus_giddingsi",29.5597572619817,489,"Bythaelurus_giddingsi",27.4803340321071,108.45165888894,-86
"Bythaelurus hispidus",547,"Bythaelurus_hispidus",30.119141921815,543,"Bythaelurus_hispidus",26.099033469492,103.120475104682,-4
"Bythaelurus immaculatus",664,"Bythaelurus_immaculatus",26.534511219815,690,"Bythaelurus_immaculatus",21.8986754740593,106.459752395851,26
"Bythaelurus incanus",770,"Bythaelurus_incanus",23.1635101056484,781,"Bythaelurus_incanus",19.8185323049163,102.533640525969,11
"Bythaelurus lutarius",682,"Bythaelurus_lutarius",26.0792326656484,668,"Bythaelurus_lutarius",22.7310732775823,101.102599960056,-14
"Callorhinchus callorynchus",61,"Callorhinchus_callorynchus",73.2875858724286,241,"Callorhinchus_callorynchus",37.0656389149556,92.0030671792434,180
"Callorhinchus capensis",65,"Callorhinchus_capensis",72.1392630339286,178,"Callorhinchus_capensis",39.6541412479936,100.492693946453,113
"Callorhinchus milii",64,"Callorhinchus_milii",72.1392630339286,208,"Callorhinchus_milii",38.364927559578,99.5340322346194,144
"Carcharhinus acronotus",852,"Carcharhinus_acronotus",20.4999349345318,842,"Carcharhinus_acronotus",18.3745279680479,97.8179746945233,-10
"Carcharhinus albimarginatus",758,"Carcharhinus_albimarginatus",23.5454716644985,687,"Carcharhinus_albimarginatus",21.9639731694121,100.356756600123,-71
"Carcharhinus altimus",962,"Carcharhinus_altimus",17.4614245776985,943,"Carcharhinus_altimus",15.979123560416,99.5383241385712,-19
"Carcharhinus amblyrhynchoides",927,"Carcharhinus_amblyrhynchoides",18.3840011806151,902,"Carcharhinus_amblyrhynchoides",16.9096730948419,101.493276777696,-25
"Carcharhinus amblyrhynchos",304,"Carcharhinus_amblyrhynchos",40.6853591466985,292,"Carcharhinus_amblyrhynchos",34.283989170042,101.238392991142,-12
"Carcharhinus amboinensis",563,"Carcharhinus_amboinensis",29.825953832436,512,"Carcharhinus_amboinensis",26.9887759425348,99.2925930267638,-51
