"Rank_EH","species_tree","species","EvoHeritage","Ancestral_EvoHeritage","rho","min_age","max_age","lambda","repeats"
396,"Scyliorhinus_retifer","Scyliorhinus retifer",0.651854647161909,21.9857738849866,0.01,145,4025,1,100
397,"Diplobatis_ommata","Diplobatis ommata",0.649693592748897,26.3000454541493,0.01,145,4025,1,100
398,"Torpedo_nobiliana","Torpedo nobiliana",0.641589193172252,24.8507361954043,0.01,145,4025,1,100
399,"Centroscyllium_excelsum","Centroscyllium excelsum",0.641352980740369,22.0154796093157,0.01,145,4025,1,100
400,"Squalus_japonicus","Squalus japonicus",0.640912046109717,24.9406956379176,0.01,145,4025,1,100
401,"Torpedo_sinuspersici","Torpedo sinuspersici",0.639619263456675,25.4261330453867,0.01,145,4025,1,100
402,"Etmopterus_sheikoi","Etmopterus sheikoi",0.63941524316721,24.9035224721406,0.01,145,4025,1,100
403,"Narcine_bancroftii","Narcine bancroftii",0.639244362537926,22.7583114332617,0.01,145,4025,1,100
404,"Cephaloscyllium_pictum","Cephaloscyllium pictum",0.636934745510518,23.5552192266071,0.01,145,4025,1,100
405,"Etmopterus_brachyurus","Etmopterus brachyurus",0.630844579204015,25.1284989321551,0.01,145,4025,1,100
406,"Squalus_brevirostris","Squalus brevirostris",0.62937101755529,22.6338943171477,0.01,145,4025,1,100
407,"Centroscyllium_fabricii","Centroscyllium fabricii",0.628878779732986,21.2853772688989,0.01,145,4025,1,100
408,"Torpedo_alexandrinsis","Torpedo alexandrinsis",0.628266000286599,24.8772660641678,0.01,145,4025,1,100
409,"Squalus_nasutus","Squalus nasutus",0.624784972470108,24.96883124584,0.01,145,4025,1,100
410,"Squalus_melanurus","Squalus melanurus",0.624439852732965,22.9274348592975,0.01,145,4025,1,100
411,"Squalus_crassispinus","Squalus crassispinus",0.624360702150028,25.4764659606424,0.01,145,4025,1,100
412,"Etmopterus_evansi","Etmopterus evansi",0.623592973278759,25.8576707271904,0.01,145,4025,1,100
413,"Torpedo_fairchildi","Torpedo fairchildi",0.621400292023425,22.4697609463425,0.01,145,4025,1,100
414,"Torpedo_puelcha","Torpedo puelcha",0.620185952795996,24.169345329221,0.01,145,4025,1,100
415,"Etmopterus_sculptus","Etmopterus sculptus",0.619037326988343,25.8757075118154,0.01,145,4025,1,100
416,"Etmopterus_schmidti","Etmopterus schmidti",0.617759369043014,24.9451039036627,0.01,145,4025,1,100
417,"Squalus_rancureli","Squalus rancureli",0.61577056893533,22.9953626210239,0.01,145,4025,1,100
418,"Cephaloscyllium_sufflans","Cephaloscyllium sufflans",0.61531855620744,24.1523256805951,0.01,145,4025,1,100
419,"Narcine_timlei","Narcine timlei",0.613772196794664,22.0081522210558,0.01,145,4025,1,100
420,"Etmopterus_compagnoi","Etmopterus compagnoi",0.612763779774478,28.2089483245727,0.01,145,4025,1,100
421,"Squalus_hemipinnis","Squalus hemipinnis",0.611253701377176,24.9338499953649,0.01,145,4025,1,100
422,"Cephaloscyllium_fasciatum","Cephaloscyllium fasciatum",0.609511702290668,22.7842647681805,0.01,145,4025,1,100
423,"Squalus_raoulensis","Squalus raoulensis",0.608963168706775,24.1239096215721,0.01,145,4025,1,100
424,"Squalus_bucephalus","Squalus bucephalus",0.607809917341951,23.2463543091463,0.01,145,4025,1,100
425,"Narcine_atzi","Narcine atzi",0.607319032755342,23.2038045187773,0.01,145,4025,1,100
426,"Squalus_albifrons","Squalus albifrons",0.605680249998199,21.7816465338458,0.01,145,4025,1,100
427,"Torpedo_polleni","Torpedo polleni",0.605101011709959,22.8576830267775,0.01,145,4025,1,100
428,"Squalus_cubensis","Squalus cubensis",0.601797356989411,23.0158532363974,0.01,145,4025,1,100
