"tip.label","partitioned.EvoHeritage","lf.rank"
"Isistius_labialis",44.6515960717427,245
"Isistius_brasiliensis",44.6515960717427,246
"Apristurus_investigatoris",44.5527780326345,247
"Glaucostegus_halavi",44.5289271215498,248
"Discopyge_castelloi",44.5092263888846,249
"Discopyge_tschudii",44.5092263888846,250
"Rhinobatos_planiceps",44.1182673551553,251
"Rhinobatos_productus",44.103315850322,252
"Rhinobatos_leucorhynchus",44.103315850322,253
"Narcine_ornata",44.007948844883,254
"Carcharhinus_signatus",43.8342195066151,255
"Squatina_argentina",43.8197258626366,256
"Squatina_aculeata",43.8197258626366,257
"Scyliorhinus_capensis",43.8131254319636,258
"Pristiophorus_cirratus",43.5921238501168,259
"Mustelus_griseus",43.5808627029962,260
"Mobula_rochebrunei",43.3516682343586,261
"Dasyatis_margaritella",43.346958746203,262
"Dasyatis_margarita",43.346958746203,263
"Torpedo_semipelagica",43.1574319764059,264
"Scyliorhinus_hesperius",43.0520270995787,265
"Pentanchus_profundicolus",43.0068824535224,266
"Paratrygon_aiereba",42.911609663931,267
"Hydrolagus_novaezealandiae",42.6670084904016,268
"Etmopterus_gracilispinis",42.6193072329438,269
"Mustelus_mangalorensis",42.5953138706628,270
"Heteroscymnoides_marleyi",42.5764439329094,271
"Squaliolus_aliae",42.5764439329094,272
"Halaelurus_boesemani",42.5375821430852,273
"Mobula_eregoodootenkee",42.4830526059301,274
"Okamejei_powelli",42.2973925755963,275
"Asymbolus_funebris",42.2738170997696,276
"Scylliogaleus_quecketti",42.1107027023628,277
"Triakis_megalopterus",42.1107027023628,278
"Etmopterus_pusillus",42.0819334596581,279
"Etmopterus_bigelowi",42.0819334596581,280
"Sphyrna_lewini",42.0618820516917,281
"Urobatis_halleri",42.0025934356122,282
"Cephaloscyllium_sufflans",41.7322697278075,283
"Hydrolagus_mccoskeri",41.64387599686,284
"Gymnura_zonura",41.4907777916648,285
"Gymnura_bimaculata",41.4907777916648,286
"Narcine_prodorsalis",41.4409341320914,287
"Ctenacis_fehlmanni",41.4013240587352,288
"Rhinoptera_bonasus",41.2699014251346,289
"Etmopterus_schultzi",41.0260680992771,290
"Squalus_megalops",41.0074430506808,291
"Orectolobus_floridus",40.9633616310058,292
"Orectolobus_reticulatus",40.9633616310058,293
"Parmaturus_lanatus",40.9275770049335,294
"Somniosus_microcephalus",40.9001215037366,295
"Proscyllium_magnificum",40.8935038530686,296
"Proscyllium_venustum",40.8935038530686,297
"Hydrolagus_melanophasma",40.7751083940921,298
"Hydrolagus_matallanasi",40.7729841589186,299
"Hydrolagus_pallidus",40.7729841589186,300
"Aculeola_nigra",40.7351295470056,301
"Cirrhoscyllium_expolitum",40.7056207494163,302
"Cirrhoscyllium_formosanum",40.7056207494163,303
"Carcharhinus_amblyrhynchos",40.6853591466985,304
"Dipturus_oculus",40.6770707077856,305
"Galeus_antillensis",40.6545195239674,306
"Galeus_murinus",40.6545195239674,307
"Dasyatis_dipterura",40.6186802859479,308
"Squalus_bucephalus",40.5267314562358,309
"Acroteriobatus_ocellatus",40.4846937776553,310
"Myliobatis_chilensis",40.4344318827073,311
"Pristiophorus_nudipinnis",40.3991475897835,312
"Pristiophorus_schroederi",40.3991475897835,313
"Gurgesiella_furvescens",40.2115873096812,314
"Negaprion_acutidens",40.1933976283651,315
"Negaprion_brevirostris",40.1933976283651,316
"Parascyllium_collare",40.1535983427496,317
"Rhinoptera_jayakari",40.1447566161346,318
"Rhinoptera_steindachneri",40.1447566161346,319
"Etmopterus_lucifer",40.0741351943962,320
"Anacanthobatis_longirostris",40.0167796074697,321
"Atelomycterus_marnkalha",39.7938626417807,322
"Pteromylaeus_bovinus",39.6865587531752,323
"Pteromylaeus_asperrimus",39.6865587531752,324
"Chimaera_panthera",39.53059411336,325
"Hydrolagus_bemisi",39.53059411336,326
"Pastinachus_stellurostris",39.4690060066488,327
"Pastinachus_solocirostris",39.4690060066488,328
"Rhinobatos_horkelii",39.4641585141553,329
"Acroteriobatus_zanzibarensis",39.4641585141553,330
"Centrophorus_granulosus",39.3454533843285,331
"Centrophorus_tessellatus",39.3454523843285,332
"Hydrolagus_colliei",39.2914552019217,333
"Carcharhinus_fitzroyensis",39.1048384469485,334
"Orectolobus_japonicus",38.9705093898986,335
"Orectolobus_maculatus",38.9705093898986,336
"Trygonoptera_mucosa",38.968478772604,337
"Trygonoptera_imitata",38.968478772604,338
"Atelomycterus_fasciatus",38.9450633097807,339
"Atelomycterus_macleayi",38.9450633097807,340
"Rhinobatos_sainsburyi",38.7525348091553,341
"Rhinobatos_percellens",38.7525348091553,342
"Dasyatis_chrysonota",38.56967245426,343
"Somniosus_antarcticus",38.4673616202366,344
"Somniosus_pacificus",38.4673616202366,345
"Narcine_bicolor",38.3837384640914,346
"Narcine_entemedor",38.3837384640914,347
"Myliobatis_aquila",38.2968360829073,348
"Halaelurus_natalensis",38.2135986175852,349
"Halaelurus_lineatus",38.2135986175852,350
"Diplobatis_colombiensis",38.1751227685512,351
"Euprotomicroides_zantedeschia",38.1709546609094,352
"Euprotomicrus_bispinatus",38.1709546609094,353
"Apristurus_internatus",38.1003749055862,354
"Cephalurus_cephalus",38.0502144732634,355
"Raja_inornata",38.0419292326825,356
"Scymnodalatias_sherwoodi",37.9058603525744,357
"Scymnodalatias_albicauda",37.9058603525744,358
"Parascyllium_variolatum",37.888421178083,359
"Urobatis_tumbesensis",37.8369033133206,360
"Urobatis_jamaicensis",37.8369033133206,361
"Oxynotus_bruniensis",37.7658588210464,362
"Oxynotus_paradoxus",37.7658588210464,363
"Urolophus_flavomosaicus",37.7588829007404,364
"Urolophus_bucculentus",37.7588829007404,365
"Acroteriobatus_blochii",37.7259278145774,366
"Urogymnus_asperrimus",37.599531037383,367
"Urogymnus_ukpam",37.599531037383,368
"Rioraja_agassizii",37.5367941348146,369
"Potamotrygon_constellata",37.5195661581393,370
"Dasyatis_colarensis",37.4855177942812,371
"Benthobatis_moresbyi",37.3413307308941,372
"Dasyatis_rudis",37.24857335776,373
"Dasyatis_pastinaca",37.24857235776,374
"Pristiophorus_delicatus",37.1105898521168,375
"Pristiophorus_nancyae",37.1105898521168,376
"Hydrolagus_homonycteris",37.0188491329217,377
"Hydrolagus_eidolon",37.0188491329217,378
"Chimaera_owstoni",36.9839995465365,379
"Rhynchobatus_luebberti",36.9621576487613,380
"Mobula_mobular",36.9132200342634,381
"Mobula_diabolus",36.9132200342634,382
"Asymbolus_pallidus",36.9044834006446,383
"Chimaera_opalescens",36.8586377681933,384
"Etmopterus_evansi",36.8549953859773,385
"Etmopterus_hillianus",36.8549953859773,386
"Apristurus_macrorhynchus",36.5216387600862,387
"Apristurus_japonicus",36.5144406350148,388
"Hydrolagus_barbouri",36.498276323255,389
"Chimaera_argiloba",36.498276323255,390
"Scoliodon_macrorhynchos",36.3840230406318,391
"Scoliodon_laticaudus",36.3840230406318,392
"Eridacnis_barbouri",36.1252413630686,393
"Myliobatis_freminvillei",36.0988804587906,394
"Myliobatis_longirostris",36.0988804587906,395
"Centroscymnus_owstonii",35.9884413252744,396
"Parascyllium_ferrugineum",35.829648774083,397
"Parascyllium_elongatum",35.829648774083,398
"Glaucostegus_cemiculus",35.7781485555498,399
"Glaucostegus_granulatus",35.7781485555498,400
"Carcharhinus_porosus",35.679094877836,401
"Heteronarce_garmani",35.6739929048346,402
"Diplobatis_ommata",35.3874911210512,403
"Diplobatis_pictus",35.3874911210512,404
"Hydrolagus_lemures",35.2182100321365,405
"Hydrolagus_ogilbyi",35.2182100321365,406
"Cephaloscyllium_silasi",35.0791096147242,407
"Squalus_griffini",34.9663428681808,408
"Rhinobatos_punctifer",34.9567720830774,409
"Lamiopsis_temminckii",34.9415067358651,410
"Lamiopsis_tephrodes",34.9415067358651,411
"Etmopterus_polli",34.8970952142771,412
"Etmopterus_virens",34.8970952142771,413
"Galeus_longirostris",34.8900658152904,414
"Chimaera_fulva",34.87173959136,415
"Hydrolagus_lusitanicus",34.87173959136,416
"Manta_birostris",34.832573324692,417
"Manta_alfredi",34.832573324692,418
"Gymnura_marmorata",34.8013798045219,419
"Gymnura_crebripunctata",34.8013798045219,420
"Poroderma_pantherinum",34.7550007502634,421
"Poroderma_africanum",34.7550007502634,422
"Asymbolus_galacticus",34.7463413097874,423
"Holohalaelurus_grennian",34.5335109715224,424
"Irolita_waitii",34.5133474102798,425
"Irolita_westraliensis",34.5133474102798,426
"Fenestraja_ishiyamai",34.4327699204506,427
"Rhynchobatus_palpebratus",34.4274788237613,428
"Hydrolagus_marmoratus",34.3270305477588,429
"Himantura_uarnacoides",34.3192832701497,430
"Rajella_bathyphila",34.3191273214951,431
"Gymnura_natalensis",34.1402067171886,432
"Cruriraja_poeyi",34.1121886348302,433
"Atlantoraja_castelnaui",34.0869358828146,434
"Dasyatis_say",34.0814534759479,435
"Dasyatis_acutirostra",34.0814534759479,436
"Narcine_nelsoni",34.0295059075973,437
"Orectolobus_halei",33.9665355720891,438
"Himantura_signifer",33.802901370994,439
"Himantura_oxyrhyncha",33.802901370994,440
"Mustelus_minicanis",33.7277911889128,441
"Mustelus_punctulatus",33.7277911889128,442
"Leucoraja_circularis",33.5591216442371,443
"Halaelurus_quagga",33.5389535647519,444
"Halaelurus_maculosus",33.5389535647519,445
"Chiloscyllium_burmensis",33.5063404618099,446
"Urotrygon_rogersi",33.4725096822327,447
"Torpedo_peruana",33.4196614030423,448
"Torpedo_panthera",33.4196614030423,449
"Dasyatis_izuensis",33.3845794833334,450
"Dasyatis_laevigata",33.3845794833334,451
"Hemiscyllium_galei",33.3524826799063,452
"Paragaleus_tengi",33.291885723731,453
"Squatina_oculata",33.2258214528866,454
"Squatina_australis",33.2258214528866,455
"Apristurus_gibbosus",33.2053077463012,456
"Apristurus_australis",33.2053067463012,457
"Rhynchobatus_djiddensis",33.1988106082613,458
"Rhynchobatus_australiae",33.1988106082613,459
"Eridacnis_sinuans",33.1927972115686,460
"Eridacnis_radcliffei",33.1927972115686,461
"Beringraja_binoculata",33.0971609343492,462
"Beringraja_pulchra",33.0971609343492,463
"Rhizoprionodon_oligolinx",33.0532421661556,464
"Sphyrna_corona",33.0258374841917,465
"Etmopterus_molleri",32.9733488477295,466
"Carcharhinus_perezii",32.8596062158485,467
"Urolophus_aurantiacus",32.8471412805737,468
"Apristurus_nasutus",32.8049374533012,469
"Apristurus_longicephalus",32.8049364533012,470
"Orectolobus_leptolineatus",32.7209621535891,471
"Orectolobus_wardi",32.7209621535891,472
"Etmopterus_sheikoi",32.7086503868962,473
"Centrophorus_isodon",32.7005587261285,474
"Squatina_legnota",32.5977659501058,475
"Squatina_tergocellatoides",32.5977659501058,476
"Myliobatis_peruvianus",32.5828582887906,477
"Myliobatis_tenuicaudatus",32.5828582887906,478
"Squatina_occulta",32.5537065047725,479
"Squatina_guggenheim",32.5537065047725,480
"Gurgesiella_dorsalifera",32.5519381106812,481
"Gurgesiella_atlantica",32.5519381106812,482
"Cruriraja_rugosa",32.4581473741636,483
"Squatina_formosa",32.4528118061058,484
"Squatina_nebulosa",32.4528118061058,485
"Urobatis_maculatus",32.3879216176122,486
"Urobatis_concentricus",32.3879216176122,487
"Squalus_altipinnis",32.2511534936808,488
"Dipturus_melanospilus",32.0592314585463,489
"Glyphis_sp.1",32.0289336808651,490
"Apristurus_stenseni",31.8518284046345,491
"Apristurus_riveri",31.8518284046345,492
"Mobula_munkiana",31.7972189059301,493
"Mobula_hypostoma",31.7972189059301,494
"Benthobatis_kreffti",31.7614276418941,495
"Benthobatis_yangi",31.7614276418941,496
"Rhizoprionodon_acutus",31.7016922046556,497
"Rhizoprionodon_taylori",31.7016922046556,498
"Squalus_acanthias",31.5959549923475,499
"Scyliorhinus_besnardi",31.5403761645787,500
"Scyliorhinus_torazame",31.5403761645787,501
"Urotrygon_reticulata",31.3979825627565,502
"Centrophorus_harrissoni",31.3969131706285,503
"Centrophorus_seychellorum",31.3969121706285,504
"Glaucostegus_typus",31.3054761455498,505
"Myliobatis_australis",31.2343199008406,506
"Myliobatis_goodei",31.2343199008406,507
"Cephaloscyllium_pardelotum",31.1912746207242,508
"Cephaloscyllium_speccum",31.1912746207242,509
"Mobula_thurstoni",31.1815764343587,510
"Mobula_kuhlii",31.1815764343587,511
"Brochiraja_microspinifera",31.1774827151382,512
"Himantura_gerrardi",31.175088268794,513
"Urolophus_kaianus",31.1554876592737,514
"Apristurus_laurussonii",31.1255909458481,515
"Apristurus_spongiceps",30.9887851274196,516
"Rhinobatos_rhinobatos",30.9883054195774,517
"Rhinobatos_prahli",30.9883044195774,518
"Etmopterus_splendidus",30.9412269103583,519
"Holohalaelurus_melanostigma",30.9037375320224,520
"Heteronarce_prabhui",30.8426550601679,521
"Pastinachus_atrus",30.7290683399821,522
"Chimaera_macrospina",30.6869444586016,523
"Chimaera_monstrosa",30.6869434586016,524
"Etmopterus_dislineatus",30.6660711892295,525
"Etmopterus_joungi",30.6660701892295,526
"Okamejei_acutispina",30.565325215258,527
"Himantura_leoparda",30.5616711370797,528
"Leucoraja_compagnoi",30.5551321783485,529
"Hemiscyllium_trispeculare",30.5506189655063,530
"Hemiscyllium_henryi",30.5506189655063,531
"Carcharhinus_hemiodon",30.5489719744985,532
"Scyliorhinus_canicula",30.5283938439636,533
"Scyliorhinus_stellaris",30.5283938439636,534
"Rhynchobatus_laevis",30.5125648162613,535
"Rhynchobatus_springeri",30.5125648162613,536
"Potamotrygon_tatianae",30.5095575288524,537
"Okamejei_porosa",30.438537921808,538
"Okamejei_heemstrai",30.438537921808,539
"Cruriraja_cadenati",30.3943764228447,540
"Cruriraja_andamanica",30.3943764228447,541
"Himantura_hortlei",30.2791628677463,542
"Chiloscyllium_arabicum",30.2561266634765,543
"Haploblepharus_edwardsii",30.2472138825376,544
"Cephaloscyllium_cooki",30.2195407249464,545
"Triakis_scyllium",30.1242016825414,546
"Bythaelurus_hispidus",30.119141921815,547
"Rhinoptera_hainanensis",30.075440765968,548
"Raja_velezi",30.0742579462145,549
"Raja_eglanteria",30.0742579462145,550
"Carcharhinus_borneensis",30.072465525586,551
"Carcharhinus_macloti",30.072465525586,552
"Okamejei_pita",30.0627575254246,553
"Mustelus_norrisi",30.0468996938051,554
"Neotrygon_leylandi",30.0001552907237,555
"Potamotrygon_schuemacheri",29.9510283177703,556
"Squalus_notocaudatus",29.9216679563474,557
"Squalus_suckleyi",29.9216679563474,558
"Centrophorus_lusitanicus",29.8581247604619,559
"Centrophorus_moluccensis",29.8581247604619,560
"Carcharhinus_brachyurus",29.8549768285985,561
"Carcharhinus_brevipinna",29.8549768285985,562
"Carcharhinus_amboinensis",29.825953832436,563
"Fenestraja_mamillidens",29.8173734055756,564
"Pastinachus_sephen",29.7795573874821,565
"Pastinachus_gracilicaudus",29.7795573874821,566
"Galeus_mincaronei",29.7764192971821,567
"Neoraja_stehmanni",29.7650414029848,568
"Etmopterus_brachyurus",29.7364455438962,569
"Etmopterus_viator",29.7364445438962,570
"Mobula_tarapacana",29.720205646692,571
"Mobula_japanica",29.720205646692,572
"Breviraja_nigriventralis",29.6231098433256,573
"Bythaelurus_alcockii",29.5597572619817,574
"Bythaelurus_giddingsi",29.5597572619817,575
"Narcine_oculifera",29.507638140883,576
"Narcine_atzi",29.507638140883,577
"Apristurus_herklotsi",29.4258290284196,578
"Apristurus_micropterygeus",29.4258290284196,579
"Etmopterus_burgessi",29.3740254838583,580
"Etmopterus_fusus",29.3740254838583,581
"Cruriraja_atlantis",29.2861429271636,582
"Cruriraja_durbanensis",29.2861429271636,583
"Etmopterus_compagnoi",29.2551315908327,584
"Sphyrna_tiburo",29.2516563788583,585
"Squatina_californica",29.2336455727725,586
"Squatina_dumeril",29.2336455727725,587
"Triakis_maculata",29.1446827600414,588
"Triakis_acutipinna",29.1446827600414,589
"Atlantoraja_platana",29.0579606128146,590
"Atlantoraja_cyclophora",29.0579606128146,591
"Raja_asterias",29.0481980736181,592
"Rhinobatos_nudidorsalis",28.9586627039107,593
"Urotrygon_aspidura",28.8802721290898,594
"Rhizoprionodon_longurio",28.7455775081556,595
"Rhizoprionodon_lalandii",28.7455775081556,596
"Dasyatis_gigantea",28.7181614947574,597
"Sympterygia_bonapartii",28.6786135744052,598
"Sympterygia_brevicaudata",28.6786135744052,599
"Himantura_jenkinsii",28.6544718501497,600
"Himantura_randalli",28.6544708501497,601
"Neotrygon_annotata",28.6491939082237,602
"Neotrygon_picta",28.6491929082237,603
"Dasyatis_geijskesi",28.5465782742812,604
