"species","scientificname","valid_name","status","rank","class","order","family","genus"
"Chiloscyllium griseum","Chiloscyllium griseum","Chiloscyllium griseum","accepted","Species","Elasmobranchii","Orectolobiformes","Hemiscylliidae","Chiloscyllium"
"Chiloscyllium burmensis","Chiloscyllium burmensis","Chiloscyllium burmense","unaccepted","Species","Elasmobranchii","Orectolobiformes","Hemiscylliidae","Chiloscyllium"
"Chiloscyllium indicum","Chiloscyllium indicum","Chiloscyllium indicum","accepted","Species","Elasmobranchii","Orectolobiformes","Hemiscylliidae","Chiloscyllium"
"Chiloscyllium plagiosum","Chiloscyllium plagiosum","Chiloscyllium plagiosum","accepted","Species","Elasmobranchii","Orectolobiformes","Hemiscylliidae","Chiloscyllium"
"Chiloscyllium punctatum","Chiloscyllium punctatum","Chiloscyllium punctatum","accepted","Species","Elasmobranchii","Orectolobiformes","Hemiscylliidae","Chiloscyllium"
"Mitsukurina owstoni","Mitsukurina owstoni","Mitsukurina owstoni","accepted","Species","Elasmobranchii","Lamniformes","Mitsukurinidae","Mitsukurina"
"Alopias superciliosus","Alopias superciliosus","Alopias superciliosus","accepted","Species","Elasmobranchii","Lamniformes","Alopiidae","Alopias"
"Alopias vulpinus","Alopias vulpinus","Alopias vulpinus","accepted","Species","Elasmobranchii","Lamniformes","Alopiidae","Alopias"
"Alopias pelagicus","Alopias pelagicus","Alopias pelagicus","accepted","Species","Elasmobranchii","Lamniformes","Alopiidae","Alopias"
"Megachasma pelagios","Megachasma pelagios","Megachasma pelagios","accepted","Species","Elasmobranchii","Lamniformes","Megachasmidae","Megachasma"
"Odontaspis noronhai","Odontaspis noronhai","Odontaspis noronhai","accepted","Species","Elasmobranchii","Lamniformes","Odontaspididae","Odontaspis"
"Odontaspis ferox","Odontaspis ferox","Odontaspis ferox","accepted","Species","Elasmobranchii","Lamniformes","Odontaspididae","Odontaspis"
"Pseudocarcharias kamoharai","Pseudocarcharias kamoharai","Pseudocarcharias kamoharai","accepted","Species","Elasmobranchii","Lamniformes","Pseudocarchariidae","Pseudocarcharias"
"Carcharias taurus","Carcharias taurus","Carcharias taurus","accepted","Species","Elasmobranchii","Lamniformes","Odontaspididae","Carcharias"
"Cetorhinus maximus","Cetorhinus maximus","Cetorhinus maximus","accepted","Species","Elasmobranchii","Lamniformes","Cetorhinidae","Cetorhinus"
"Lamna ditropis","Lamna ditropis","Lamna ditropis","accepted","Species","Elasmobranchii","Lamniformes","Lamnidae","Lamna"
"Lamna nasus","Lamna nasus","Lamna nasus","accepted","Species","Elasmobranchii","Lamniformes","Lamnidae","Lamna"
"Carcharodon carcharias","Carcharodon carcharias","Carcharodon carcharias","accepted","Species","Elasmobranchii","Lamniformes","Lamnidae","Carcharodon"
"Isurus oxyrinchus","Isurus oxyrinchus","Isurus oxyrinchus","accepted","Species","Elasmobranchii","Lamniformes","Lamnidae","Isurus"
"Isurus paucus","Isurus paucus","Isurus paucus","accepted","Species","Elasmobranchii","Lamniformes","Lamnidae","Isurus"
"Cephalurus cephalus","Cephalurus cephalus","Cephalurus cephalus","accepted","Species","Elasmobranchii","Carcharhiniformes","Pentanchidae","Cephalurus"
"Poroderma pantherinum","Poroderma pantherinum","Poroderma pantherinum","accepted","Species","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Poroderma"
"Poroderma africanum","Poroderma africanum","Poroderma africanum","accepted","Species","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Poroderma"
"Scyliorhinus torrei","Scyliorhinus torrei","Scyliorhinus torrei","accepted","Species","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Scyliorhinus"
"Scyliorhinus haeckelii","Scyliorhinus haeckelii","Scyliorhinus haeckelii","accepted","Species","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Scyliorhinus"
"Scyliorhinus canicula","Scyliorhinus canicula","Scyliorhinus canicula","accepted","Species","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Scyliorhinus"
"Scyliorhinus stellaris","Scyliorhinus stellaris","Scyliorhinus stellaris","accepted","Species","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Scyliorhinus"
"Scyliorhinus cervigoni","Scyliorhinus cervigoni","Scyliorhinus cervigoni","accepted","Species","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Scyliorhinus"
"Scyliorhinus retifer","Scyliorhinus retifer","Scyliorhinus retifer","accepted","Species","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Scyliorhinus"
"Scyliorhinus capensis","Scyliorhinus capensis","Scyliorhinus capensis","accepted","Species","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Scyliorhinus"
"Cephaloscyllium fasciatum","Cephaloscyllium fasciatum","Cephaloscyllium fasciatum","accepted","Species","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Cephaloscyllium"
"Cephaloscyllium pictum","Cephaloscyllium pictum","Cephaloscyllium pictum","accepted","Species","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Cephaloscyllium"
"Cephaloscyllium ventriosum","Cephaloscyllium ventriosum","Cephaloscyllium ventriosum","accepted","Species","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Cephaloscyllium"
"Cephaloscyllium signourum","Cephaloscyllium signourum","Cephaloscyllium signourum","accepted","Species","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Cephaloscyllium"
"Cephaloscyllium stevensi","Cephaloscyllium stevensi","Cephaloscyllium stevensi","accepted","Species","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Cephaloscyllium"
"Cephaloscyllium maculatum","Cephaloscyllium maculatum","Cephaloscyllium fasciatum","unaccepted","Species","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Cephaloscyllium"
"Cephaloscyllium silasi","Cephaloscyllium silasi","Cephaloscyllium silasi","accepted","Species","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Cephaloscyllium"
"Cephaloscyllium pardelotum","Cephaloscyllium pardelotum","Cephaloscyllium fasciatum","unaccepted","Species","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Cephaloscyllium"
"Cephaloscyllium speccum","Cephaloscyllium speccum","Cephaloscyllium speccum","accepted","Species","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Cephaloscyllium"
"Cephaloscyllium variegatum","Cephaloscyllium variegatum","Cephaloscyllium variegatum","accepted","Species","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Cephaloscyllium"
"Cephaloscyllium laticeps","Cephaloscyllium laticeps","Cephaloscyllium laticeps","accepted","Species","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Cephaloscyllium"
"Cephaloscyllium isabellum","Cephaloscyllium isabellum","Cephaloscyllium isabella","unaccepted","Species","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Cephaloscyllium"
"Cephaloscyllium albipinnum","Cephaloscyllium albipinnum","Cephaloscyllium albipinnum","accepted","Species","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Cephaloscyllium"
"Cephaloscyllium zebrum","Cephaloscyllium zebrum","Cephaloscyllium zebrum","accepted","Species","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Cephaloscyllium"
"Cephaloscyllium hiscosellum","Cephaloscyllium hiscosellum","Cephaloscyllium hiscosellum","accepted","Species","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Cephaloscyllium"
"Cephaloscyllium umbratile","Cephaloscyllium umbratile","Cephaloscyllium umbratile","accepted","Species","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Cephaloscyllium"
"Cephaloscyllium sarawakensis","Cephaloscyllium sarawakensis","Cephaloscyllium sarawakense","unaccepted","Species","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Cephaloscyllium"
"Cephaloscyllium cooki","Cephaloscyllium cooki","Cephaloscyllium cooki","accepted","Species","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Cephaloscyllium"
"Cephaloscyllium sufflans","Cephaloscyllium sufflans","Cephaloscyllium sufflans","accepted","Species","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Cephaloscyllium"
"Scyliorhinus garmani","Scyliorhinus garmani","Scyliorhinus garmani","accepted","Species","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Scyliorhinus"
"Scyliorhinus tokubee","Scyliorhinus tokubee","Scyliorhinus torazame","unaccepted","Species","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Scyliorhinus"
"Scyliorhinus comoroensis","Scyliorhinus comoroensis","Scyliorhinus comoroensis","accepted","Species","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Scyliorhinus"
"Scyliorhinus meadi","Scyliorhinus meadi","Scyliorhinus meadi","accepted","Species","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Scyliorhinus"
"Scyliorhinus boa","Scyliorhinus boa","Scyliorhinus boa","accepted","Species","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Scyliorhinus"
"Scyliorhinus hesperius","Scyliorhinus hesperius","Scyliorhinus hesperius","accepted","Species","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Scyliorhinus"
"Scyliorhinus besnardi","Scyliorhinus besnardi","Scyliorhinus besnardi","accepted","Species","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Scyliorhinus"
"Scyliorhinus torazame","Scyliorhinus torazame","Scyliorhinus torazame","accepted","Species","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Scyliorhinus"
"Schroederichthys bivius","Schroederichthys bivius","Schroederichthys bivius","accepted","Species","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Schroederichthys"
"Schroederichthys tenuis","Schroederichthys tenuis","Schroederichthys tenuis","accepted","Species","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Schroederichthys"
"Schroederichthys maculatus","Schroederichthys maculatus","Schroederichthys maculatus","accepted","Species","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Schroederichthys"
"Schroederichthys saurisqualus","Schroederichthys saurisqualus","Schroederichthys saurisqualus","accepted","Species","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Schroederichthys"
"Schroederichthys chilensis","Schroederichthys chilensis","Schroederichthys chilensis","accepted","Species","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Schroederichthys"
"Aulohalaelurus labiosus","Aulohalaelurus labiosus","Aulohalaelurus labiosus","accepted","Species","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Aulohalaelurus"
"Aulohalaelurus kanakorum","Aulohalaelurus kanakorum","Aulohalaelurus kanakorum","accepted","Species","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Aulohalaelurus"
"Atelomycterus baliensis","Atelomycterus baliensis","Atelomycterus baliensis","accepted","Species","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Atelomycterus"
"Atelomycterus marmoratus","Atelomycterus marmoratus","Atelomycterus marmoratus","accepted","Species","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Atelomycterus"
"Atelomycterus fasciatus","Atelomycterus fasciatus","Atelomycterus fasciatus","accepted","Species","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Atelomycterus"
"Atelomycterus macleayi","Atelomycterus macleayi","Atelomycterus macleayi","accepted","Species","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Atelomycterus"
"Atelomycterus marnkalha","Atelomycterus marnkalha","Atelomycterus marnkalha","accepted","Species","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Atelomycterus"
"Eridacnis barbouri","Eridacnis barbouri","Eridacnis barbouri","accepted","Species","Elasmobranchii","Carcharhiniformes","Proscylliidae","Eridacnis"
"Eridacnis sinuans","Eridacnis sinuans","Eridacnis sinuans","accepted","Species","Elasmobranchii","Carcharhiniformes","Proscylliidae","Eridacnis"
"Eridacnis radcliffei","Eridacnis radcliffei","Eridacnis radcliffei","accepted","Species","Elasmobranchii","Carcharhiniformes","Proscylliidae","Eridacnis"
"Ctenacis fehlmanni","Ctenacis fehlmanni","Ctenacis fehlmanni","accepted","Species","Elasmobranchii","Carcharhiniformes","Proscylliidae","Ctenacis"
"Proscyllium magnificum","Proscyllium magnificum","Proscyllium magnificum","accepted","Species","Elasmobranchii","Carcharhiniformes","Proscylliidae","Proscyllium"
"Proscyllium venustum","Proscyllium venustum","Proscyllium venustum","accepted","Species","Elasmobranchii","Carcharhiniformes","Proscylliidae","Proscyllium"
"Proscyllium habereri","Proscyllium habereri","Proscyllium habereri","accepted","Species","Elasmobranchii","Carcharhiniformes","Proscylliidae","Proscyllium"
"Pseudotriakis microdon","Pseudotriakis microdon","Pseudotriakis microdon","accepted","Species","Elasmobranchii","Carcharhiniformes","Pseudotriakidae","Pseudotriakis"
"Planonasus parini","Planonasus parini","Planonasus parini","accepted","Species","Elasmobranchii","Carcharhiniformes","Pseudotriakidae","Planonasus"
"Gollum attenuatus","Gollum attenuatus","Gollum attenuatus","accepted","Species","Elasmobranchii","Carcharhiniformes","Pseudotriakidae","Gollum"
"Gollum suluensis","Gollum suluensis","Gollum suluensis","accepted","Species","Elasmobranchii","Carcharhiniformes","Pseudotriakidae","Gollum"
"Leptocharias smithii","Leptocharias smithii","Leptocharias smithii","accepted","Species","Elasmobranchii","Carcharhiniformes","Leptochariidae","Leptocharias"
"Hemipristis elongata","Hemipristis elongata","Hemipristis elongata","accepted","Species","Elasmobranchii","Carcharhiniformes","Hemigaleidae","Hemipristis"
"Paragaleus tengi","Paragaleus tengi","Paragaleus tengi","accepted","Species","Elasmobranchii","Carcharhiniformes","Hemigaleidae","Paragaleus"
"Paragaleus pectoralis","Paragaleus pectoralis","Paragaleus pectoralis","accepted","Species","Elasmobranchii","Carcharhiniformes","Hemigaleidae","Paragaleus"
"Paragaleus randalli","Paragaleus randalli","Paragaleus longicaudatus","unaccepted","Species","Elasmobranchii","Carcharhiniformes","Hemigaleidae","Paragaleus"
"Paragaleus leucolomatus","Paragaleus leucolomatus","Paragaleus leucolomatus","accepted","Species","Elasmobranchii","Carcharhiniformes","Hemigaleidae","Paragaleus"
"Chaenogaleus macrostoma","Chaenogaleus macrostoma","Chaenogaleus macrostoma","accepted","Species","Elasmobranchii","Carcharhiniformes","Hemigaleidae","Chaenogaleus"
"Hemigaleus microstoma","Hemigaleus microstoma","Hemigaleus microstoma","accepted","Species","Elasmobranchii","Carcharhiniformes","Hemigaleidae","Hemigaleus"
"Hemigaleus australiensis","Hemigaleus australiensis","Hemigaleus australiensis","accepted","Species","Elasmobranchii","Carcharhiniformes","Hemigaleidae","Hemigaleus"
"Galeocerdo cuvier","Galeocerdo cuvier","Galeocerdo cuvier","accepted","Species","Elasmobranchii","Carcharhiniformes","Galeocerdonidae","Galeocerdo"
"Eusphyra blochii","Eusphyra blochii","Eusphyra blochii","accepted","Species","Elasmobranchii","Carcharhiniformes","Sphyrnidae","Eusphyra"
"Sphyrna mokarran","Sphyrna mokarran","Sphyrna mokarran","accepted","Species","Elasmobranchii","Carcharhiniformes","Sphyrnidae","Sphyrna"
"Sphyrna zygaena","Sphyrna zygaena","Sphyrna zygaena","accepted","Species","Elasmobranchii","Carcharhiniformes","Sphyrnidae","Sphyrna"
"Sphyrna lewini","Sphyrna lewini","Sphyrna lewini","accepted","Species","Elasmobranchii","Carcharhiniformes","Sphyrnidae","Sphyrna"
"Sphyrna corona","Sphyrna corona","Sphyrna corona","accepted","Species","Elasmobranchii","Carcharhiniformes","Sphyrnidae","Sphyrna"
"Sphyrna tiburo","Sphyrna tiburo","Sphyrna tiburo","accepted","Species","Elasmobranchii","Carcharhiniformes","Sphyrnidae","Sphyrna"
"Sphyrna tudes","Sphyrna tudes","Sphyrna tudes","accepted","Species","Elasmobranchii","Carcharhiniformes","Sphyrnidae","Sphyrna"
"Sphyrna media","Sphyrna media","Sphyrna media","accepted","Species","Elasmobranchii","Carcharhiniformes","Sphyrnidae","Sphyrna"
"Loxodon macrorhinus","Loxodon macrorhinus","Loxodon macrorhinus","accepted","Species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Loxodon"
"Scoliodon macrorhynchos","Scoliodon macrorhynchos","Scoliodon macrorhynchos","accepted","Species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Scoliodon"
"Scoliodon laticaudus","Scoliodon laticaudus","Scoliodon laticaudus","accepted","Species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Scoliodon"
"Rhizoprionodon oligolinx","Rhizoprionodon oligolinx","Rhizoprionodon oligolinx","accepted","Species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Rhizoprionodon"
"Rhizoprionodon acutus","Rhizoprionodon acutus","Rhizoprionodon acutus","accepted","Species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Rhizoprionodon"
"Rhizoprionodon taylori","Rhizoprionodon taylori","Rhizoprionodon taylori","accepted","Species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Rhizoprionodon"
"Rhizoprionodon longurio","Rhizoprionodon longurio","Rhizoprionodon longurio","accepted","Species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Rhizoprionodon"
"Rhizoprionodon lalandii","Rhizoprionodon lalandii","Rhizoprionodon lalandii","accepted","Species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Rhizoprionodon"
"Rhizoprionodon terraenovae","Rhizoprionodon terraenovae","Rhizoprionodon terraenovae","accepted","Species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Rhizoprionodon"
"Rhizoprionodon porosus","Rhizoprionodon porosus","Rhizoprionodon porosus","accepted","Species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Rhizoprionodon"
"Triaenodon obesus","Triaenodon obesus","Triaenodon obesus","accepted","Species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Triaenodon"
"Carcharhinus sorrah","Carcharhinus sorrah","Carcharhinus sorrah","accepted","Species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus"
"Carcharhinus amboinensis","Carcharhinus amboinensis","Carcharhinus amboinensis","accepted","Species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus"
"Carcharhinus borneensis","Carcharhinus borneensis","Carcharhinus borneensis","accepted","Species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus"
"Carcharhinus macloti","Carcharhinus macloti","Carcharhinus macloti","accepted","Species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus"
"Carcharhinus sealei","Carcharhinus sealei","Carcharhinus sealei","accepted","Species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus"
"Carcharhinus dussumieri","Carcharhinus dussumieri","Carcharhinus dussumieri","accepted","Species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus"
"Carcharhinus porosus","Carcharhinus porosus","Carcharhinus porosus","accepted","Species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus"
"Carcharhinus perezii","Carcharhinus perezii","Carcharhinus perezii","accepted","Species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus"
"Carcharhinus tjutjot","Carcharhinus tjutjot","Carcharhinus tjutjot","accepted","Species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus"
"Carcharhinus cerdale","Carcharhinus cerdale","Carcharhinus cerdale","accepted","Species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus"
"Isogomphodon oxyrhynchus","Isogomphodon oxyrhynchus","Isogomphodon oxyrhynchus","accepted","Species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Isogomphodon"
"Carcharhinus longimanus","Carcharhinus longimanus","Carcharhinus longimanus","accepted","Species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus"
"Carcharhinus coatesi","Carcharhinus coatesi","Carcharhinus coatesi","accepted","Species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus"
"Carcharhinus obscurus","Carcharhinus obscurus","Carcharhinus obscurus","accepted","Species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus"
"Carcharhinus galapagensis","Carcharhinus galapagensis","Carcharhinus galapagensis","accepted","Species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus"
"Carcharhinus brachyurus","Carcharhinus brachyurus","Carcharhinus brachyurus","accepted","Species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus"
"Carcharhinus brevipinna","Carcharhinus brevipinna","Carcharhinus brevipinna","accepted","Species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus"
"Prionace glauca","Prionace glauca","Prionace glauca","accepted","Species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Prionace"
"Carcharhinus albimarginatus","Carcharhinus albimarginatus","Carcharhinus albimarginatus","accepted","Species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus"
"Carcharhinus hemiodon","Carcharhinus hemiodon","Carcharhinus hemiodon","accepted","Species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus"
"Carcharhinus falciformis","Carcharhinus falciformis","Carcharhinus falciformis","accepted","Species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus"
"Carcharhinus wheeleri","Carcharhinus wheeleri","Carcharhinus amblyrhynchos","unaccepted","Species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus"
"Carcharhinus amblyrhynchos","Carcharhinus amblyrhynchos","Carcharhinus amblyrhynchos","accepted","Species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus"
"Carcharhinus leucas","Carcharhinus leucas","Carcharhinus leucas","accepted","Species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus"
"Carcharhinus altimus","Carcharhinus altimus","Carcharhinus altimus","accepted","Species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus"
"Carcharhinus plumbeus","Carcharhinus plumbeus","Carcharhinus plumbeus","accepted","Species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus"
"Carcharhinus isodon","Carcharhinus isodon","Carcharhinus isodon","accepted","Species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus"
"Nasolamia velox","Nasolamia velox","Nasolamia velox","accepted","Species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Nasolamia"
"Carcharhinus acronotus","Carcharhinus acronotus","Carcharhinus acronotus","accepted","Species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus"
"Carcharhinus signatus","Carcharhinus signatus","Carcharhinus signatus","accepted","Species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus"
"Carcharhinus fitzroyensis","Carcharhinus fitzroyensis","Carcharhinus fitzroyensis","accepted","Species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus"
"Carcharhinus melanopterus","Carcharhinus melanopterus","Carcharhinus melanopterus","accepted","Species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus"
"Carcharhinus cautus","Carcharhinus cautus","Carcharhinus cautus","accepted","Species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus"
"Carcharhinus limbatus","Carcharhinus limbatus","Carcharhinus limbatus","accepted","Species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus"
"Carcharhinus tilstoni","Carcharhinus tilstoni","Carcharhinus tilstoni","accepted","Species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus"
"Carcharhinus amblyrhynchoides","Carcharhinus amblyrhynchoides","Carcharhinus amblyrhynchoides","accepted","Species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus"
"Carcharhinus leiodon","Carcharhinus leiodon","Carcharhinus leiodon","accepted","Species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus"
"Negaprion acutidens","Negaprion acutidens","Negaprion acutidens","accepted","Species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Negaprion"
"Negaprion brevirostris","Negaprion brevirostris","Negaprion brevirostris","accepted","Species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Negaprion"
"Lamiopsis temminckii","Lamiopsis temminckii","Lamiopsis temminckii","accepted","Species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Lamiopsis"
"Lamiopsis tephrodes","Lamiopsis tephrodes","Lamiopsis tephrodes","accepted","Species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Lamiopsis"
"Glyphis glyphis","Glyphis glyphis","Glyphis glyphis","accepted","Species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Glyphis"
"Glyphis garricki","Glyphis garricki","Glyphis garricki","accepted","Species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Glyphis"
"Glyphis siamensis","Glyphis siamensis","Glyphis siamensis","accepted","Species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Glyphis"
"Glyphis fowlerae",NA,NA,NA,NA,NA,NA,NA,NA
"Glyphis gangeticus","Glyphis gangeticus","Glyphis gangeticus","accepted","Species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Glyphis"
"Glyphis sp.1",NA,NA,NA,NA,NA,NA,NA,NA
"Triakis semifasciata","Triakis semifasciata","Triakis semifasciata","accepted","Species","Elasmobranchii","Carcharhiniformes","Triakidae","Triakis"
"Triakis maculata","Triakis maculata","Triakis maculata","accepted","Species","Elasmobranchii","Carcharhiniformes","Triakidae","Triakis"
"Triakis acutipinna","Triakis acutipinna","Triakis acutipinna","accepted","Species","Elasmobranchii","Carcharhiniformes","Triakidae","Triakis"
"Triakis scyllium","Triakis scyllium","Triakis scyllium","accepted","Species","Elasmobranchii","Carcharhiniformes","Triakidae","Triakis"
"Furgaleus macki","Furgaleus macki","Furgaleus macki","accepted","Species","Elasmobranchii","Carcharhiniformes","Triakidae","Furgaleus"
"Hemitriakis indroyonoi","Hemitriakis indroyonoi","Hemitriakis indroyonoi","accepted","Species","Elasmobranchii","Carcharhiniformes","Triakidae","Hemitriakis"
"Hemitriakis japanica","Hemitriakis japanica","Hemitriakis japanica","accepted","Species","Elasmobranchii","Carcharhiniformes","Triakidae","Hemitriakis"
"Hemitriakis abdita","Hemitriakis abdita","Hemitriakis abdita","accepted","Species","Elasmobranchii","Carcharhiniformes","Triakidae","Hemitriakis"
"Hemitriakis leucoperiptera","Hemitriakis leucoperiptera","Hemitriakis leucoperiptera","accepted","Species","Elasmobranchii","Carcharhiniformes","Triakidae","Hemitriakis"
"Hemitriakis falcata","Hemitriakis falcata","Hemitriakis falcata","accepted","Species","Elasmobranchii","Carcharhiniformes","Triakidae","Hemitriakis"
"Hemitriakis complicofasciata","Hemitriakis complicofasciata","Hemitriakis complicofasciata","accepted","Species","Elasmobranchii","Carcharhiniformes","Triakidae","Hemitriakis"
"Gogolia filewoodi","Gogolia filewoodi","Gogolia filewoodi","accepted","Species","Elasmobranchii","Carcharhiniformes","Triakidae","Gogolia"
"Iago garricki","Iago garricki","Iago garricki","accepted","Species","Elasmobranchii","Carcharhiniformes","Triakidae","Iago"
"Iago omanensis","Iago omanensis","Iago omanensis","accepted","Species","Elasmobranchii","Carcharhiniformes","Triakidae","Iago"
"Galeorhinus galeus","Galeorhinus galeus","Galeorhinus galeus","accepted","Species","Elasmobranchii","Carcharhiniformes","Triakidae","Galeorhinus"
"Hypogaleus hyugaensis","Hypogaleus hyugaensis","Hypogaleus hyugaensis","accepted","Species","Elasmobranchii","Carcharhiniformes","Triakidae","Hypogaleus"
"Mustelus mento","Mustelus mento","Mustelus mento","accepted","Species","Elasmobranchii","Carcharhiniformes","Triakidae","Mustelus"
"Mustelus albipinnis","Mustelus albipinnis","Mustelus albipinnis","accepted","Species","Elasmobranchii","Carcharhiniformes","Triakidae","Mustelus"
"Mustelus palumbes","Mustelus palumbes","Mustelus palumbes","accepted","Species","Elasmobranchii","Carcharhiniformes","Triakidae","Mustelus"
